#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.WSD|Comment|Explanation|KBid|NumberOfSenses|Origine|Possible


#Text=Tehnološki faktori podrazumevaju tehnološke aspekte, kao što su aktivnosti istraživanja i razvoja, automatizacija, tehnološki podsticaji i stopa tehnoloških promena.
1-1	0-10	Tehnološki	A	ADJ	_	_	tehnološki	_	_	_	*	_	_	_	_	_	_
1-2	11-18	faktori	N	NOUN	_	_	faktor	_	_	_	*	_	_	_	_	_	_
1-3	19-32	podrazumevaju	V	VERB	_	_	podrazumevati	_	_	_	*	_	_	_	_	_	_
1-4	33-43	tehnološke	A	ADJ	_	_	tehnološki	_	_	_	*	_	_	_	_	_	_
1-5	44-51	aspekte	N	NOUN	_	_	aspekt	_	_	_	*	_	_	_	_	_	_
1-6	51-52	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	_	_
1-7	53-56	kao	CONJ	SCONJ	_	_	kao	1[6]	kao što[6]	ConjID[6]	*[14]	_	_	_	_	_	_
1-8	57-60	što	CONJ	SCONJ	_	_	što	1[6]	kao što[6]	ConjID[6]	*[14]	_	_	_	_	_	_
1-9	61-63	su	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	_	_
1-10	64-74	aktivnosti	N	NOUN	_	_	aktivnost	_	_	_	*	_	_	_	_	_	_
1-11	75-87	istraživanja	N	NOUN	_	_	istraživanje	_	_	_	*	_	_	_	_	_	_
1-12	88-89	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	_	_	_
1-13	90-97	razvoja	N	NOUN	_	_	razvoj	_	_	_	*	_	_	_	_	_	_
1-14	97-98	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	_	_
1-15	99-113	automatizacija	N	NOUN	_	_	automatizacija	_	_	_	*	_	_	_	_	_	_
1-16	113-114	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	_	_
1-17	115-125	tehnološki	A	ADJ	_	_	tehnološki	_	_	_	*	_	_	_	_	_	_
1-18	126-136	podsticaji	N	NOUN	_	_	podsticaj	_	_	_	*	_	_	_	_	_	_
1-19	137-138	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	_	_	_
1-20	139-144	stopa	N	NOUN	_	_	stopa	_	_	_	*	_	_	_	_	_	_
1-21	145-156	tehnoloških	A	ADJ	_	_	tehnološki	_	_	_	*	_	_	_	_	_	_
1-22	157-164	promena	N	NOUN	_	_	promena	_	_	_	*	_	_	_	_	_	_
1-23	164-165	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	_	_

#Text=Austrijske pretenzije na te nemačke države su bez izuzetka odbačene.
2-1	165-175	Austrijske	A	ADJ	*	DEMO	austrijski	_	_	_	*	_	_	_	_	_	_
2-2	176-186	pretenzije	N	NOUN	_	_	pretenzija	_	_	_	*	_	_	_	_	_	_
2-3	187-189	na	PREP	ADP	_	_	na	_	_	_	_	_	_	_	_	_	_
2-4	190-192	te	PRO	DET	_	_	taj	_	_	_	_	_	_	_	_	_	_
2-5	193-200	nemačke	A	ADJ	*	DEMO	nemački	_	_	_	*	_	_	_	_	_	_
2-6	201-207	države	N	NOUN	_	_	država	_	_	_	*	_	_	_	_	_	_
2-7	208-210	su	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	_	_
2-8	211-214	bez	PREP	ADP	_	_	bez	1[7]	bez izuzetka[7]	AdvID[7]	*[15]	_	_	_	_	_	_
2-9	215-223	izuzetka	N	NOUN	_	_	izuzetak	1[7]	bez izuzetka[7]	AdvID[7]	*[15]	_	_	_	_	_	_
2-10	224-232	odbačene	V	VERB	_	_	odbaciti	_	_	_	*	_	_	_	_	_	_
2-11	232-233	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	_	_

#Text=AH-1 je bio okosnica flote jurišnih helikoptera američke vojske, ali ga je u vojnoj službi zamenio AH-64 Apač.
3-1	233-237	AH-1	ABB	X	http://www.wikidata.org/entity/Q927610	PRODUCT	AH-1	_	_	_	_	_	_	_	_	_	_
3-2	238-240	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	_	_
3-3	241-244	bio	V	AUX	_	_	biti	_	_	_	_	_	_	_	_	_	_
3-4	245-253	okosnica	N	NOUN	_	_	okosnica	_	_	_	*	_	_	_	_	_	_
3-5	254-259	flote	N	NOUN	_	_	flota	_	_	_	*	_	_	_	_	_	_
3-6	260-268	jurišnih	A	ADJ	_	_	jurišni	1[8]	jurišni helikopter[8]	NID[8]	*[16]	_	_	_	_	_	_
3-7	269-280	helikoptera	N	NOUN	_	_	helikopter	1[8]	jurišni helikopter[8]	NID[8]	*[16]	_	_	_	_	_	_
3-8	281-289	američke	A	ADJ	*	DEMO	američki	_	_	_	*	_	_	_	_	_	_
3-9	290-296	vojske	N	NOUN	_	_	vojska	_	_	_	*	_	_	_	_	_	_
3-10	296-297	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	_	_
3-11	298-301	ali	CONJ	CCONJ	_	_	ali	_	_	_	_	_	_	_	_	_	_
3-12	302-304	ga	PRO	PRON	_	_	on	_	_	_	_	_	_	_	_	_	_
3-13	305-307	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	_	_
3-14	308-309	u	PREP	ADP	_	_	u	_	_	_	_	_	_	_	_	_	_
3-15	310-316	vojnoj	A	ADJ	_	_	vojni	_	_	_	*	_	_	_	_	_	_
3-16	317-323	službi	N	NOUN	_	_	služba	_	_	_	*	_	_	_	_	_	_
3-17	324-331	zamenio	V	VERB	_	_	zameniti	_	_	_	*	_	_	_	_	_	_
3-18	332-337	AH-64	ABB	X	http://www.wikidata.org/entity/Q171468[1]	PRODUCT[1]	AH-64	_	_	_	_	_	_	_	_	_	_
3-19	338-342	Apač	N	PROPN	http://www.wikidata.org/entity/Q171468[1]	PRODUCT[1]	Apač	_	_	_	_	_	_	_	_	_	_
3-20	342-343	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	_	_

#Text=U požaru je došlo do urušavanja krova, a bomba je uništila deo severne strane.
4-1	343-344	U	PREP	ADP	_	_	u	_	_	_	_	_	_	_	_	_	_
4-2	345-351	požaru	N	NOUN	_	_	požar	_	_	_	*	_	_	_	_	_	_
4-3	352-354	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	_	_
4-4	355-360	došlo	V	VERB	_	_	doći	_	_	_	*	_	_	_	_	_	_
4-5	361-363	do	PREP	ADP	_	_	do	_	_	_	_	_	_	_	_	_	_
4-6	364-374	urušavanja	N	NOUN	_	_	urušavanje	_	_	_	*	_	_	_	_	_	_
4-7	375-380	krova	N	NOUN	_	_	krov	_	_	_	*	_	_	_	_	_	_
4-8	380-381	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	_	_
4-9	382-383	a	CONJ	CCONJ	_	_	a	_	_	_	_	_	_	_	_	_	_
4-10	384-389	bomba	N	NOUN	_	_	bomba	_	_	_	*	_	_	_	_	_	_
4-11	390-392	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	_	_
4-12	393-401	uništila	V	VERB	_	_	uništiti	_	_	_	*	_	_	_	_	_	_
4-13	402-405	deo	N	NOUN	_	_	deo	_	_	_	*	_	_	_	_	_	_
4-14	406-413	severne	A	ADJ	_	_	severni	_	_	_	*	_	_	_	_	_	_
4-15	414-420	strane	N	NOUN	_	_	strana	_	_	_	*	_	_	_	_	_	_
4-16	420-421	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	_	_

#Text=Čovek se može slobodno kretati u prostoru, ali ne i u vremenu.
5-1	421-426	Čovek	N	NOUN	_	_	čovek	_	_	_	*	_	_	_	_	_	_
5-2	427-429	se	PAR	PART	_	_	se	1	*	IRV	*[17]	_	_	_	_	_	_
5-3	430-434	može	V	VERB	_	_	moći	_	_	_	*[17]|*[18]	_	_	_	_	_	_
5-4	435-443	slobodno	ADV	ADV	_	_	slobodno	_	_	_	*[17]|*[19]	_	_	_	_	_	_
5-5	444-451	kretati	V	VERB	_	_	kretati	1	kretati se	IRV	*[17]	_	_	_	_	_	_
