Sentence	Token	Sentence index	Token index	First Model NEW_SENSE	Second Model NEW_SENSE
Taj bod podelili su na jednake delove vozači koji su imali isti najbrži krug.	podelili	2.0	3.0	False	False
Taj bod podelili su na jednake delove vozači koji su imali isti najbrži krug.	delove	2.0	7.0	False	False
Umrla je 1245. godine, još uvek čekajući da joj se sin vrati.	se			False	False
Govoreći o naslovu i konceptu albuma, Gaga je objasnila: „Slava govori o tome kako se svako može osećati slavnim.“	albuma	4.0	6.0	True	False
Govoreći o naslovu i konceptu albuma, Gaga je objasnila: „Slava govori o tome kako se svako može osećati slavnim.“	objasnila	4.0	10.0	False	False
Govoreći o naslovu i konceptu albuma, Gaga je objasnila: „Slava govori o tome kako se svako može osećati slavnim.“	Slava	4.0	13.0	False	False
Govoreći o naslovu i konceptu albuma, Gaga je objasnila: „Slava govori o tome kako se svako može osećati slavnim.“	govori	4.0	14.0	False	False
U roku od pet sati 10 bojnih brodova, pet ratnih krstarica, četiri lake krstarice i 32 torpedna čamca potonuli su u Skapa Flouu.	potonuli	5.0	21.0	False	False
Car nije bio voljan da to razmotri.	razmotri	6.0	7.0	False	False
Stoga će svaka potraga za dokazima u korist hipoteze verovatno uspeti.	dokazima	7.0	6.0	False	False
Snabdevanje lako dostupnom nekontaminiranom vodom i dobra sanitarna praksa važni su za smanjenje stope infekcije i klinički značajnog gastroenteritisa.	važni	8.0	10.0	False	False
Snabdevanje lako dostupnom nekontaminiranom vodom i dobra sanitarna praksa važni su za smanjenje stope infekcije i klinički značajnog gastroenteritisa.	infekcije	8.0	15.0	False	False
Tasman, njegov navigator Višer i trgovac Gilsemans uz to su ucrtali u mapu značajan deo Australije, Novog Zelanda i pacifičkih ostrva.	ucrtali	9.0	12.0	False	False
Tasman, njegov navigator Višer i trgovac Gilsemans uz to su ucrtali u mapu značajan deo Australije, Novog Zelanda i pacifičkih ostrva.	značajan	9.0	15.0	False	False
Tasman, njegov navigator Višer i trgovac Gilsemans uz to su ucrtali u mapu značajan deo Australije, Novog Zelanda i pacifičkih ostrva.	Novog	9.0	19.0	True	False
Tasman, njegov navigator Višer i trgovac Gilsemans uz to su ucrtali u mapu značajan deo Australije, Novog Zelanda i pacifičkih ostrva.	ostrva	9.0	23.0	False	False
Onkocercijaza, poznata i kao rečno slepilo, jeste bolest čiji je uzročnik infekcija parazitskim crvom Onchocerca volvulus.	poznata	11.0	3.0	False	False
Onkocercijaza, poznata i kao rečno slepilo, jeste bolest čiji je uzročnik infekcija parazitskim crvom Onchocerca volvulus.	bolest	11.0	10.0	True	False
To su noćne životinje koje uglavnom žive same.	žive	12.0	7.0	False	False
To su noćne životinje koje uglavnom žive same.	same	12.0	8.0	False	False
Religija je, zapravo, samosvest i samopouzdanje čoveka koji se još uvek nije pronašao ili se ponovo izgubio.	čoveka	13.0	9.0	False	False
Nemačka vojska je 1944. godine okupirala Mađarsku.	godine	15.0	5.0	False	False
U zemljama u razvoju, posebno u podsaharskoj Africi i Aziji, kolera je čest uzrok gastroenteritisa.	posebno	17.0	6.0	False	False
Brzo lete i teško ih je uhvatiti.	lete	18.0	2.0	False	False
Brzo lete i teško ih je uhvatiti.	teško	18.0	4.0	False	False
Brzo lete i teško ih je uhvatiti.	uhvatiti	18.0	7.0	False	False
Prvi sastanak novog parlamenta održan je 12. maja 1999. godine.	Prvi	22.0	1.0	True	False
Prvi sastanak novog parlamenta održan je 12. maja 1999. godine.	novog	22.0	3.0	False	False
Marš je otkrio prve fosile pterosaura pronađene u Americi.	otkrio	23.0	3.0	False	False
Marš je otkrio prve fosile pterosaura pronađene u Americi.	prve	23.0	4.0	False	False
Porodica živi u Njujorku.	Porodica	24.0	1.0	False	False
Od 1499. do 1528. Republika je pala na najniže grane, budući da je bila pod gotovo stalnom francuskom okupacijom.	Republika	25.0	5.0	True	False
U japanskoj invaziji na Kinu učestvovalo je oko 50.000 biciklističkih trupa.	učestvovalo	27.0	6.0	False	False
Neubijanje se odnosi na odsustvo ubijanja, pretnji ubistvom i uslova koji dovode do ubistava u ljudskom društvu.	se			False	False
Neubijanje se odnosi na odsustvo ubijanja, pretnji ubistvom i uslova koji dovode do ubistava u ljudskom društvu.	uslova	28.0	11.0	False	False
Neubijanje se odnosi na odsustvo ubijanja, pretnji ubistvom i uslova koji dovode do ubistava u ljudskom društvu.	ubistava	28.0	15.0	False	False
Služi i kao policijski pas.	Služi	29.0	1.0	False	False
Služi i kao policijski pas.	pas	29.0	5.0	True	False
Amalrik je tražio savez sa carem Manuelom i još jednom je napao Egipat.	tražio	30.0	3.0	False	False
Amalrik je tražio savez sa carem Manuelom i još jednom je napao Egipat.	napao	30.0	12.0	False	False
Nakon smrti kralj mora najpre ustati iz groba.	smrti	31.0	2.0	False	False
Nakon smrti kralj mora najpre ustati iz groba.	mora	31.0	4.0	False	False
Velika erupcija izazvala je smrt devetnaestoro ljudi.	izazvala	32.0	3.0	False	False
Velika erupcija izazvala je smrt devetnaestoro ljudi.	smrt	32.0	5.0	False	False
Veoma su teritorijalni i agresivni kako prema sopstvenoj vrsti, tako i prema drugima.	kako	33.0	6.0	True	False
Veoma su teritorijalni i agresivni kako prema sopstvenoj vrsti, tako i prema drugima.	drugima	33.0	14.0	False	False
Ona ima dva starija brata, Rajana i Spensera, koji su takođe glumci.	starija	35.0	4.0	False	False
Ona ima dva starija brata, Rajana i Spensera, koji su takođe glumci.	brata	35.0	5.0	False	False
Bila je zainteresovana za medicinu, a proizvodila je i sopstvene lekove.	medicinu	36.0	5.0	True	False
Do 1582. godine bilo je čak 150.000 preobraćenika (dva posto stanovništva) i 200 crkava.	godine	37.0	3.0	False	False
Očekivan životni vek u divljini je oko 20 godina, dok je u zatočeništvu do 30 godina.	divljini	38.0	5.0	False	False
Italijanske državne granice treba promeniti u skladu s jasno prepoznatljivim granicama nacionalnosti.	granicama	39.0	11.0	False	False
Deca zaražena rotavirusom obično se potpuno oporave u roku od tri do osam dana.	obično	41.0	4.0	False	False
Deca zaražena rotavirusom obično se potpuno oporave u roku od tri do osam dana.	dana	41.0	14.0	False	False
Njegova smrt zapravo simbolizuje sam kraj Bugarskog carstva.	carstva	42.0	8.0	False	False
Grad nikada nije bio dovršen i konačno je bio napušten vek kasnije, kada je palo Asirsko carstvo.	napušten	43.0	10.0	False	False
Grad nikada nije bio dovršen i konačno je bio napušten vek kasnije, kada je palo Asirsko carstvo.	palo	43.0	16.0	False	False
Grad nikada nije bio dovršen i konačno je bio napušten vek kasnije, kada je palo Asirsko carstvo.	carstvo	43.0	18.0	False	False
Počeli su građevinski radovi na grobljanskom zidu i kapiji.	zidu	44.0	7.0	False	False
Počeli su građevinski radovi na grobljanskom zidu i kapiji.	kapiji	44.0	9.0	False	False
Kraljica Viktorija i princ Albert bili su rešeni da njihov najstariji sin dobije obrazovanje koje bi ga pripremilo da bude uzoran ustavni monarh.	najstariji	45.0	11.0	False	False
Kraljica Viktorija i princ Albert bili su rešeni da njihov najstariji sin dobije obrazovanje koje bi ga pripremilo da bude uzoran ustavni monarh.	dobije	45.0	13.0	False	False
Kraljica Viktorija i princ Albert bili su rešeni da njihov najstariji sin dobije obrazovanje koje bi ga pripremilo da bude uzoran ustavni monarh.	obrazovanje	45.0	14.0	False	False
Kraljica Viktorija i princ Albert bili su rešeni da njihov najstariji sin dobije obrazovanje koje bi ga pripremilo da bude uzoran ustavni monarh.	uzoran	45.0	21.0	False	False
Kao i sumatranskom nosorogu, potrebna mu je so u ishrani.	potrebna	46.0	6.0	True	False
Ova knjiga je sačuvana u rukopisu.	knjiga	47.0	2.0	False	False
Ova vakcina uz to može da spreči bolest kod nevakcinisane dece smanjivanjem broja aktivno inficiranih.	bolest	48.0	8.0	True	False
Ova vakcina uz to može da spreči bolest kod nevakcinisane dece smanjivanjem broja aktivno inficiranih.	broja	48.0	13.0	False	False
Završilo bi se Napoleonovim potpunim porazom.	porazom	50.0	6.0	False	False
Sačuvano je osamdeset devet balata za dva glasa, četrdeset dve balate za tri glasa i još devet koje imaju i dvoglasnu i troglasnu verziju.	Sačuvano	52.0	1.0	False	False
Sačuvano je osamdeset devet balata za dva glasa, četrdeset dve balate za tri glasa i još devet koje imaju i dvoglasnu i troglasnu verziju.	glasa	52.0	8.0	False	False
Sačuvano je osamdeset devet balata za dva glasa, četrdeset dve balate za tri glasa i još devet koje imaju i dvoglasnu i troglasnu verziju.	glasa	52.0	15.0	False	False
Sačuvano je osamdeset devet balata za dva glasa, četrdeset dve balate za tri glasa i još devet koje imaju i dvoglasnu i troglasnu verziju.	imaju	52.0	20.0	False	False
Kiseonik ima tri stabilna izotopa–16O, 17O i 18O.	ima	53.0	2.0	True	False
Obezbediti praćenje i verifikaciju prekida vatre od strane OEBS-a.	Obezbediti	54.0	1.0	False	False
Standardni IMAX ekran širok je 22 m i visok 16 m, ali postoje i ekrani većih dimenzija.	ekran	55.0	3.0	True	False
Standardni IMAX ekran širok je 22 m i visok 16 m, ali postoje i ekrani većih dimenzija.	ekrani	55.0	16.0	True	False
Pošto se Kula smatrala neosvojivom tvrđavom na strateški važnom položaju, posed je bio na ceni.	smatrala	56.0	4.0	False	False
Pošto se Kula smatrala neosvojivom tvrđavom na strateški važnom položaju, posed je bio na ceni.	tvrđavom	56.0	6.0	False	False
Pošto se Kula smatrala neosvojivom tvrđavom na strateški važnom položaju, posed je bio na ceni.	položaju	56.0	10.0	False	False
Pošto se Kula smatrala neosvojivom tvrđavom na strateški važnom položaju, posed je bio na ceni.	posed	56.0	12.0	True	False
Postao je đakon 1093, a zatim i sveštenik 1107. godine.	Postao	57.0	1.0	False	False
Postao je đakon 1093, a zatim i sveštenik 1107. godine.	godine	57.0	11.0	False	False
Pronašao ga je policajac koji ga je odvezao u bolnicu u Hafenu, gde je proglašen mrtvim.	Pronašao	58.0	1.0	False	False
Pronašao ga je policajac koji ga je odvezao u bolnicu u Hafenu, gde je proglašen mrtvim.	bolnicu	58.0	10.0	False	False
Pronašao ga je policajac koji ga je odvezao u bolnicu u Hafenu, gde je proglašen mrtvim.	proglašen	58.0	16.0	False	False
Budale se onda međusobno svađaju.	se			False	False
Ugovorom je takođe bila obezbeđena i odšteta Francuskoj od 40 miliona franaka.	odšteta	60.0	7.0	False	False
Osoba možda želi da sačuva nešto u tajnosti i da ima pristup prikupljenim informacijama.	želi	61.0	3.0	False	False
Osoba možda želi da sačuva nešto u tajnosti i da ima pristup prikupljenim informacijama.	sačuva	61.0	5.0	False	False
Njegovi napori nisu nikako bili ograničeni samo na poljski jezik i književnost; postepeno je naučio priličan broj jezika i postao pravi poliglota.	ograničeni	62.0	6.0	False	False
Njegovi napori nisu nikako bili ograničeni samo na poljski jezik i književnost; postepeno je naučio priličan broj jezika i postao pravi poliglota.	samo	62.0	7.0	False	False
Njegovi napori nisu nikako bili ograničeni samo na poljski jezik i književnost; postepeno je naučio priličan broj jezika i postao pravi poliglota.	postao	62.0	21.0	False	False
Vlada Istočne Nemačke je 9. novembra 1989. objavila otvaranje Berlinskog zida i unutrašnje nemačke granice.	Vlada	63.0	1.0	False	False
Vlada Istočne Nemačke je 9. novembra 1989. objavila otvaranje Berlinskog zida i unutrašnje nemačke granice.	Istočne	63.0	2.0	True	False
Vlada Istočne Nemačke je 9. novembra 1989. objavila otvaranje Berlinskog zida i unutrašnje nemačke granice.	objavila	63.0	8.0	False	False
Govoreći na konferenciji za novinare u Moskvi, ona je izjavila da su Rusi „isti kao i mi“.	Govoreći	64.0	1.0	False	False
Postoji takođe dokaz da je u hramu bio bar jedan sveštenik.	dokaz	66.0	3.0	False	False
Rimski istoričar Svetonije opisao je ovaj rat kao najteži sukob sa kojim se Rim suočio od punskih ratova dva veka ranije.	se			False	False
Rimski istoričar Svetonije opisao je ovaj rat kao najteži sukob sa kojim se Rim suočio od punskih ratova dva veka ranije.	Rimski	67.0	1.0	False	False
Rimski istoričar Svetonije opisao je ovaj rat kao najteži sukob sa kojim se Rim suočio od punskih ratova dva veka ranije.	opisao	67.0	4.0	False	False
Rimski istoričar Svetonije opisao je ovaj rat kao najteži sukob sa kojim se Rim suočio od punskih ratova dva veka ranije.	najteži	67.0	9.0	False	False
Neki se još uvek koriste za izradu nameštaja.	koriste	70.0	5.0	True	False
Za populaciju koja zadovoljava ove uslove kaže se da je u Hardi–Vajnbergovoj ravnoteži.	kaže	71.0	7.0	False	False
Ona flertuje sa svakim muškarcem kojeg sretne.	muškarcem	72.0	5.0	False	False
Ona flertuje sa svakim muškarcem kojeg sretne.	sretne	72.0	7.0	False	False
Dok je on u zatvoru, njegova sestra umire sama.	sama	73.0	10.0	False	False
Ovo je slično Kirijevoj temperaturi jer iznad Nelove temperature materijal prolazi kroz fazni prelaz i postaje paramagnetičan.	materijal	74.0	10.0	False	False
Ovo je slično Kirijevoj temperaturi jer iznad Nelove temperature materijal prolazi kroz fazni prelaz i postaje paramagnetičan.	prolazi	74.0	11.0	True	False
Četvrto mesto mu je bilo najbolji rezultat.	mesto	75.0	2.0	False	False
Krajem XVIII veka Šarl Mesje je sastavio katalog koji sadrži 109 najsjajnijih nebeskih objekata magličastog izgleda.	veka	76.0	3.0	True	False
Krajem XVIII veka Šarl Mesje je sastavio katalog koji sadrži 109 najsjajnijih nebeskih objekata magličastog izgleda.	sastavio	76.0	7.0	True	False
Krajem XVIII veka Šarl Mesje je sastavio katalog koji sadrži 109 najsjajnijih nebeskih objekata magličastog izgleda.	sadrži	76.0	10.0	False	False
Krajem XVIII veka Šarl Mesje je sastavio katalog koji sadrži 109 najsjajnijih nebeskih objekata magličastog izgleda.	najsjajnijih	76.0	12.0	False	False
Krajem XVIII veka Šarl Mesje je sastavio katalog koji sadrži 109 najsjajnijih nebeskih objekata magličastog izgleda.	magličastog	76.0	15.0	False	False
Krajem XVIII veka Šarl Mesje je sastavio katalog koji sadrži 109 najsjajnijih nebeskih objekata magličastog izgleda.	izgleda	76.0	16.0	False	False
