Sentence	Token	Sentence index	Token index	First Model NEW_SENSE	Second Model NEW_SENSE
Ipak, nastavio je da radi na esperantu sve dok nije umro od srčanog udara 1921. godine.	nastavio	1.0	3.0	False	False
Ipak, nastavio je da radi na esperantu sve dok nije umro od srčanog udara 1921. godine.	godine	1.0	17.0	False	False
Bol može biti jači tokom noći i može se pojačati tokom vremena dok ne postane nepodnošljiv i neprekidan.	postane	3.0	15.0	False	False
Frederik IX je bio kralj Danske od 1947. do 1972. godine.	godine	4.0	11.0	False	False
Votsonova je za svoj nastup dobila nagradu „Otto“ od nemačkog časopisa „Bravo“.	nastup	5.0	5.0	True	False
Votsonova je za svoj nastup dobila nagradu „Otto“ od nemačkog časopisa „Bravo“.	dobila	5.0	6.0	False	False
Votsonova je za svoj nastup dobila nagradu „Otto“ od nemačkog časopisa „Bravo“.	časopisa	5.0	13.0	False	False
Godine 1814. Kristijanija je ponovo postala prava prestonica, kada je prestala da postoji unija sa Danskom.	Godine	6.0	1.0	False	False
Godine 1814. Kristijanija je ponovo postala prava prestonica, kada je prestala da postoji unija sa Danskom.	postala	6.0	6.0	False	False
Godine 1814. Kristijanija je ponovo postala prava prestonica, kada je prestala da postoji unija sa Danskom.	prava	6.0	7.0	False	False
Godine 1814. Kristijanija je ponovo postala prava prestonica, kada je prestala da postoji unija sa Danskom.	prestala	6.0	12.0	False	False
Njegov uticaj na strategiju Konfederacije bio je smanjen zbog loših profesionalnih odnosa sa predsednikom Džefersonom Dejvisom i drugim visokim generalima i zvaničnicima.	uticaj	9.0	2.0	False	False
Njegov uticaj na strategiju Konfederacije bio je smanjen zbog loših profesionalnih odnosa sa predsednikom Džefersonom Dejvisom i drugim visokim generalima i zvaničnicima.	strategiju	9.0	4.0	False	False
Njegov uticaj na strategiju Konfederacije bio je smanjen zbog loših profesionalnih odnosa sa predsednikom Džefersonom Dejvisom i drugim visokim generalima i zvaničnicima.	predsednikom	9.0	14.0	False	False
Njegov uticaj na strategiju Konfederacije bio je smanjen zbog loših profesionalnih odnosa sa predsednikom Džefersonom Dejvisom i drugim visokim generalima i zvaničnicima.	drugim	9.0	18.0	False	False
Timovi su organizovani na principima Fudbala za prijateljstvo: u istom timu igraju sportisti različitih nacionalnosti, pola i fizičkih sposobnosti.	Timovi	10.0	1.0	False	False
Timovi su organizovani na principima Fudbala za prijateljstvo: u istom timu igraju sportisti različitih nacionalnosti, pola i fizičkih sposobnosti.	istom	10.0	11.0	False	False
Timovi su organizovani na principima Fudbala za prijateljstvo: u istom timu igraju sportisti različitih nacionalnosti, pola i fizičkih sposobnosti.	timu	10.0	12.0	False	False
Timovi su organizovani na principima Fudbala za prijateljstvo: u istom timu igraju sportisti različitih nacionalnosti, pola i fizičkih sposobnosti.	različitih	10.0	15.0	False	False
Mađarska delegacija potpisala je sporazum uz negodovanje 4. juna 1920. u palati Veliki Trijanon, u Versaju u Francuskoj.	palati	11.0	12.0	False	False
Godinu dana kasnije Votsonova je ponovo glumila Hermionu u filmu Hari Poter i Dvorana tajni, u drugom delu serije.	filmu	13.0	10.0	False	False
Godinu dana kasnije Votsonova je ponovo glumila Hermionu u filmu Hari Poter i Dvorana tajni, u drugom delu serije.	tajni	13.0	15.0	False	False
Naglasak uvek pada na poslednji slog reči.	pada	14.0	3.0	False	False
Naglasak uvek pada na poslednji slog reči.	slog	14.0	6.0	True	False
Naglasak uvek pada na poslednji slog reči.	reči	14.0	7.0	True	False
Mehurići sapuna obično traju samo nekoliko sekundi pre nego što puknu, bilo sami ili u kontaktu sa drugim predmetom.	Mehurići	17.0	1.0	False	False
Mehurići sapuna obično traju samo nekoliko sekundi pre nego što puknu, bilo sami ili u kontaktu sa drugim predmetom.	sami	17.0	14.0	False	False
Mehurići sapuna obično traju samo nekoliko sekundi pre nego što puknu, bilo sami ili u kontaktu sa drugim predmetom.	drugim	17.0	19.0	False	False
Robot ne sme da naudi čovečanstvu niti da dozvoli da mu njegovo nečinjenje naudi.	sme	18.0	3.0	False	False
Robot ne sme da naudi čovečanstvu niti da dozvoli da mu njegovo nečinjenje naudi.	dozvoli	18.0	9.0	False	False
Prvi komercijalno dostupan telefon koji koristi Android bio je HTC Dream (poznat i kao T-Mobile G1).	Prvi	19.0	1.0	False	False
Prvi komercijalno dostupan telefon koji koristi Android bio je HTC Dream (poznat i kao T-Mobile G1).	telefon	19.0	4.0	True	False
Prvi komercijalno dostupan telefon koji koristi Android bio je HTC Dream (poznat i kao T-Mobile G1).	poznat	19.0	13.0	False	False
Iste te 1972. Sjedinjene Države su pokrenule program Landsat, najveći program za dobijanje slika Zemlje iz svemira.	slika	20.0	15.0	False	False
Kritična masa je najmanja količina fisionog materijala potrebna za održavanje nuklearne lančane reakcije.	najmanja	22.0	4.0	False	False
Kritična masa je najmanja količina fisionog materijala potrebna za održavanje nuklearne lančane reakcije.	potrebna	22.0	8.0	True	False
Bio je siguran da je Zemlja okrugla.	siguran	23.0	3.0	False	False
Bio je siguran da je Zemlja okrugla.	okrugla	23.0	7.0	False	False
Moto Reda je: Za boga i carstvo.	Reda	25.0	2.0	False	False
„Bože, sačuvaj naša Solomonova Ostrva“ jeste nacionalna himna Solomonovih Ostrva.	sačuvaj	26.0	4.0	False	False
„Bože, sačuvaj naša Solomonova Ostrva“ jeste nacionalna himna Solomonovih Ostrva.	Ostrva	26.0	7.0	False	False
„Bože, sačuvaj naša Solomonova Ostrva“ jeste nacionalna himna Solomonovih Ostrva.	Ostrva	26.0	13.0	False	False
Najrasprostranjeniji čadski jezik je hausa, zajednički jezik većeg dela unutrašnjosti na istoku Zapadne Afrike.	zajednički	27.0	7.0	False	False
Jerusalimsko kraljevstvo je bilo hrišćansko kraljevstvo osnovano na Levantu 1099. posle Prvog krstaškog rata.	kraljevstvo	28.0	2.0	True	False
Jerusalimsko kraljevstvo je bilo hrišćansko kraljevstvo osnovano na Levantu 1099. posle Prvog krstaškog rata.	Prvog	28.0	12.0	False	False
Poljoprivreda u Egiptu zavisila je od ciklusa reke Nil.	ciklusa	29.0	7.0	False	False
Godine 1942. objavio je svoju autobiografiju „Tajni život Salvadora Dalija“.	Godine	30.0	1.0	False	False
Godine 1942. objavio je svoju autobiografiju „Tajni život Salvadora Dalija“.	život	30.0	9.0	False	False
1024 je prirodni broj koji sledi 1023 i prethodi broju 1025.	prethodi	31.0	9.0	False	False
Završio je i akademske studije istorije, sociologije, političkih nauka, poreskog prava i ekonomije na Univerzitetu u Upsali, a kasnije i ekonomije na Univerzitetu u Stokholmu.	Univerzitetu	33.0	18.0	False	False
Završio je i akademske studije istorije, sociologije, političkih nauka, poreskog prava i ekonomije na Univerzitetu u Upsali, a kasnije i ekonomije na Univerzitetu u Stokholmu.	Univerzitetu	33.0	27.0	False	False
Kasnije je radio kao sekretar Akademije za malteški jezik (Akkademja tal-Malti).	radio	34.0	3.0	False	False
Kasnije je radio kao sekretar Akademije za malteški jezik (Akkademja tal-Malti).	kao	34.0	4.0	False	False
Pošto je njen otac nasledio titulu grofa Spensera, postala je poznata kao Lejdi Dajana Spenser.	postala	35.0	10.0	False	False
Shodno tome, Frederik je postao princ Danske 1853.	postao	36.0	6.0	False	False
Ako se implantacija ne dogodi u roku od otprilike dve nedelje, žuto telo će se smanjiti, izazivajući oštar pad nivoa i progesterona i estrogena.	se			False	False
Ako se implantacija ne dogodi u roku od otprilike dve nedelje, žuto telo će se smanjiti, izazivajući oštar pad nivoa i progesterona i estrogena.	izazivajući	37.0	19.0	False	False
Ako se implantacija ne dogodi u roku od otprilike dve nedelje, žuto telo će se smanjiti, izazivajući oštar pad nivoa i progesterona i estrogena.	nivoa	37.0	22.0	False	False
Izveštaj se nastavlja do 1305. godine, ali godine 898–922, 1263–1283. i 1288–1294. nedostaju iz nepoznatih razloga.	Izveštaj	38.0	1.0	True	False
Izveštaj se nastavlja do 1305. godine, ali godine 898–922, 1263–1283. i 1288–1294. nedostaju iz nepoznatih razloga.	godine	38.0	9.0	False	False
