Sentence	Token	Sentence index	Token index	First Model NEW_SENSE	Second Model NEW_SENSE
Zatim se imenuje izvestilac koji će sastaviti mišljenje Komiteta.	imenuje	1.0	3.0	False	False
Zatim se imenuje izvestilac koji će sastaviti mišljenje Komiteta.	Komiteta	1.0	9.0	False	False
EuroBillTracker (EBT) jeste veb stranica dizajnirana za praćenje novčanica evra.	novčanica	2.0	11.0	True	False
Njegov rad se često povezuje s postmodernizmom, posebno s poststrukturalizmom.	rad	3.0	2.0	False	False
Njegov rad se često povezuje s postmodernizmom, posebno s poststrukturalizmom.	posebno	3.0	9.0	False	False
I posedovao je mnogo nekretnina.	mnogo	5.0	4.0	False	False
Kapital mora da raste, inače čitav proces propada.	proces	6.0	8.0	False	False
Sve kandidate mora odobriti Savet čuvara.	Savet	9.0	5.0	False	False
Sve kandidate mora odobriti Savet čuvara.	čuvara	9.0	6.0	False	False
Valentinijan je pronađen obešen u svojoj palati u Vjenu.	pronađen	10.0	3.0	False	False
Devedesetih godina XX veka počela je da piše za decu.	godina	11.0	2.0	False	False
Devedesetih godina XX veka počela je da piše za decu.	veka	11.0	4.0	True	False
Devedesetih godina XX veka počela je da piše za decu.	piše	11.0	8.0	False	False
To će verovatno biti prva parazitska bolest koja će biti iskorenjena na globalnom nivou.	verovatno	12.0	3.0	False	False
To će verovatno biti prva parazitska bolest koja će biti iskorenjena na globalnom nivou.	prva	12.0	5.0	False	False
Poznato je po proizvodnji mesa visokog kvaliteta.	Poznato	13.0	1.0	False	False
Poznato je po proizvodnji mesa visokog kvaliteta.	proizvodnji	13.0	4.0	False	False
Prvo su živeli u Parizu.	Prvo	14.0	1.0	False	False
Ovaj pas ima veoma kratku i glatku dlaku.	ima	16.0	3.0	False	False
Ovaj pas ima veoma kratku i glatku dlaku.	veoma	16.0	4.0	False	False
Šarlot se priseća kako je svojoj majci na samrti obećala da će se udati za Alberta.	obećala	17.0	10.0	False	False
Želim samo da ispunjavam Božju volju.	Želim	19.0	1.0	False	False
Od 1935. radio je u privatnoj bakteriološkoj laboratoriji koju je nešto ranije osnovao.	radio	20.0	3.0	False	False
Od 1935. radio je u privatnoj bakteriološkoj laboratoriji koju je nešto ranije osnovao.	nešto	20.0	11.0	False	False
U nekim slučajevima sunčeva svetlost ga može ublažiti, posebno na čelu.	slučajevima	21.0	3.0	False	False
U nekim slučajevima sunčeva svetlost ga može ublažiti, posebno na čelu.	svetlost	21.0	5.0	False	False
U nekim slučajevima sunčeva svetlost ga može ublažiti, posebno na čelu.	posebno	21.0	10.0	False	False
U nekim slučajevima sunčeva svetlost ga može ublažiti, posebno na čelu.	čelu	21.0	12.0	False	False
Iglsi su ušli u studio 1977. godine da bi započeli rad na svom sledećem albumu, „The Long Run”.	godine	22.0	7.0	False	False
Od 1948. je radio kao novinar.	kao	23.0	5.0	False	False
Ova kombinacija evropskih i severnoafričkih tehnologija brodogradnje prvi put je učinila mogućim obimnu trgovinu i putovanja preko Atlantika.	prvi	25.0	8.0	False	False
Ova kombinacija evropskih i severnoafričkih tehnologija brodogradnje prvi put je učinila mogućim obimnu trgovinu i putovanja preko Atlantika.	mogućim	25.0	12.0	False	False
Ova kombinacija evropskih i severnoafričkih tehnologija brodogradnje prvi put je učinila mogućim obimnu trgovinu i putovanja preko Atlantika.	putovanja	25.0	16.0	False	False
Ima i hrišćana koji se tako osećaju.	se			False	False
Ima i hrišćana koji se tako osećaju.	tako	26.0	6.0	False	False
Pokazala je i veliko interesovanje za botaniku.	Pokazala	28.0	1.0	False	False
Stanovništvo ih je primilo s velikim oduševljenjem.	primilo	29.0	4.0	False	False
Dvorac je nekoliko puta menjao vlasnike.	nekoliko	30.0	3.0	False	False
Dvorac je nekoliko puta menjao vlasnike.	menjao	30.0	5.0	False	False
Dugoročno gledano, evolucijom nastaju nove vrste kroz razdvajanje populacija organizama sa zajedničkim pretkom u nove grupe koje se ne mogu ili neće ukrštati.	zajedničkim	31.0	13.0	False	False
Dugoročno gledano, evolucijom nastaju nove vrste kroz razdvajanje populacija organizama sa zajedničkim pretkom u nove grupe koje se ne mogu ili neće ukrštati.	nove	31.0	16.0	False	False
Rođen je u Rimu u uglednoj porodici.	porodici	32.0	7.0	False	False
Predsednik Kenedi je 1961. predložio Kongresu kao cilj spuštanje čoveka na Mesec do kraja decenije.	cilj	34.0	8.0	False	False
Predsednik Kenedi je 1961. predložio Kongresu kao cilj spuštanje čoveka na Mesec do kraja decenije.	spuštanje	34.0	9.0	True	False
Predsednik Kenedi je 1961. predložio Kongresu kao cilj spuštanje čoveka na Mesec do kraja decenije.	čoveka	34.0	10.0	False	False
Korišćeni metod pogubljenja je smrt vešanjem.	metod	35.0	2.0	True	False
Korišćeni metod pogubljenja je smrt vešanjem.	smrt	35.0	5.0	False	False
Izgleda da konzumiranje kafe, vitamina C i mlečnih proizvoda, kao i fizička spremnost, smanjuju rizik.	fizička	36.0	14.0	False	False
Izgleda da konzumiranje kafe, vitamina C i mlečnih proizvoda, kao i fizička spremnost, smanjuju rizik.	spremnost	36.0	15.0	False	False
Uzrok smrti je samoubistvo vešanjem.	smrti	38.0	2.0	False	False
Njihov maternji jezik je litvanski, jedan od samo dva preživela člana porodice baltičkih jezika.	samo	39.0	9.0	False	False
