#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.sense|SenseID|Number_of_candidate_senses|List_of_candidate_senses|Ainotes


#Text=On obično igra na poziciji levog krila ili levog beka.
151-1	0-2	On	PRO	PRON	_	_	on	_	_	_	_	_	_	_	
151-2	3-9	obično	ADV	ADV	_	_	obično	_	_	_	ENG30-00155621-b	3	ENG30-00041954-b;ENG30-00106921-b;ENG30-00155621-b	Značenje 'obično; po pravilu' se savršeno uklapa u kontekst rečenice, ukazujući da on po pravilu igra na tim pozicijama.	
151-3	10-14	igra	V	VERB	_	_	igrati	_	_	_	ENG30-01072949-v	13	ENG30-01072949-v;ENG30-01079480-v;ENG30-01080064-v;ENG30-01080691-v;ENG30-01138911-v;ENG30-01149470-v;ENG30-01156115-v;ENG30-01708676-v;ENG30-01716882-v;ENG30-01719302-v;ENG30-01722077-v;ENG30-02099075-v;ENG30-02631349-v	U kontekstu rečenice, 'igrati' znači učestvovati u sportu, odnosno zauzimati određenu poziciju u timu.	
151-4	15-17	na	PREP	ADP	_	_	na	_	_	_	_	_	_	_	
151-5	18-26	poziciji	N	NOUN	_	_	pozicija	_	_	_	ENG30-08622201-n	8	ENG30-06196284-n;ENG30-06483454-n;ENG30-06783265-n;ENG30-08620061-n;ENG30-08622201-n;ENG30-08622950-n;ENG30-13925752-n;ENG30-13945919-n	U kontekstu sporta, 'pozicija' se odnosi na odgovarajuću ili uobičajenu lokaciju igrača na terenu.	
151-6	27-32	levog	A	ADJ	_	_	levi	1[807]	levo krilo[807]	NID[807]	LLM-0108[3500]	1[3500]	LLM-0108[3500]	U navedenom kontekstu, 'levo krilo' se odnosi na poziciju igrača u timskom sportu, konkretno na igrača koji igra uz levu stranu terena u napadu.[3500]	
151-7	33-38	krila	N	NOUN	_	_	krilo	1[807]	levo krilo[807]	NID[807]	LLM-0108[3500]	1[3500]	LLM-0108[3500]	U navedenom kontekstu, 'levo krilo' se odnosi na poziciju igrača u timskom sportu, konkretno na igrača koji igra uz levu stranu terena u napadu.[3500]	
151-8	39-42	ili	CONJ	CCONJ	_	_	ili	_	_	_	_	_	_	_	
151-9	43-48	levog	A	ADJ	_	_	levi	2[808]	levi bek[808]	NID[808]	LLM-0107[3501]	1[3501]	LLM-0107[3501]	Levi bek je odbrambeni igrač koji igra na levoj strani terena, što se direktno uklapa u definiciju.[3501]	
151-10	49-53	beka	N	NOUN	_	_	bek	2[808]	levi bek[808]	NID[808]	LLM-0107[3501]	1[3501]	LLM-0107[3501]	Levi bek je odbrambeni igrač koji igra na levoj strani terena, što se direktno uklapa u definiciju.[3501]	
151-11	53-54	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	

#Text=Uspostavljena je i posebna Komisija za finansijska i administrativna pitanja (CFAA) kako bi pomogla Birou Evropskog odbora regija (CoR).
152-1	54-67	Uspostavljena	V	VERB	_	_	uspostaviti	_	_	_	ENG30-02427103-v	5	ENG30-00636888-v;ENG30-01570108-v;ENG30-01647672-v;ENG30-01655505-v;ENG30-02427103-v	U kontekstu rečenice, 'uspostavljena' se odnosi na osnivanje ili formiranje Komisije, što se poklapa sa značenjem 'uspostaviti ili osnovati'.	
152-2	68-70	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	
152-3	71-72	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	
152-4	73-80	posebna	A	ADJ	_	_	poseban	_	_	_	ENG30-01104460-a	6	ENG30-00311044-a;ENG30-00488187-a;ENG30-01103021-a;ENG30-01103844-a;ENG30-01104026-a;ENG30-01104460-a	U kontekstu rečenice, 'posebna Komisija' označava da je ta komisija odvojena i različita od drugih komisija, formirana sa specifičnom svrhom.	
152-5	81-89	Komisija	N	NOUN	*[73]	ORG[73]	komisija	_	_	_	_	_	_	_	
152-6	90-92	za	PREP	ADP	*[73]	ORG[73]	za	_	_	_	_	_	_	_	
152-7	93-104	finansijska	A	ADJ	*[73]	ORG[73]	finansijski	_	_	_	_	_	_	_	
152-8	105-106	i	CONJ	CCONJ	*[73]	ORG[73]	i	_	_	_	_	_	_	_	
152-9	107-122	administrativna	A	ADJ	*[73]	ORG[73]	administrativan	_	_	_	_	_	_	_	
152-10	123-130	pitanja	N	NOUN	*[73]	ORG[73]	pitanje	_	_	_	_	_	_	_	
152-11	131-132	(	PUNCT	PUNCT	_	_	(	_	_	_	_	_	_	_	
152-12	132-136	CFAA	ABB	X	*	ORG	CFAA	_	_	_	_	_	_	_	
152-13	136-137	)	PUNCT	PUNCT	_	_	)	_	_	_	_	_	_	_	
152-14	138-142	kako	CONJ	SCONJ	_	_	kako	_	_	_	_	_	_	_	
152-15	143-145	bi	V	AUX	_	_	biti	_	_	_	_	_	_	_	
152-16	146-153	pomogla	V	VERB	_	_	pomoći	_	_	_	ENG30-02547586-v	5	ENG30-00082081-v;ENG30-01757338-v;ENG30-02547586-v;ENG30-02555434-v;ENG30-02735897-v	U kontekstu rečenice, Komisija je uspostavljena da pruži podršku Birou Evropskog odbora regija, što se najbolje uklapa u značenje 'pružiti pomoć, biti na usluzi'.	
152-17	154-159	Birou	N	NOUN	_	_	biro	_	_	_	ENG30-08337324-n	2	ENG30-03841666-n;ENG30-08337324-n	U ovom kontekstu, 'Biro' se odnosi na administrativnu jedinicu unutar Evropskog odbora regija (CoR), a ne na fizički poslovni prostor.	
152-18	160-169	Evropskog	A	ADJ	http://www.wikidata.org/entity/Q205203[74]	ORG[74]	evropski	_	_	_	_	_	_	_	
152-19	170-176	odbora	N	NOUN	http://www.wikidata.org/entity/Q205203[74]	ORG[74]	odbor	_	_	_	_	_	_	_	
152-20	177-183	regija	N	NOUN	http://www.wikidata.org/entity/Q205203[74]	ORG[74]	regija	_	_	_	_	_	_	_	
152-21	184-185	(	PUNCT	PUNCT	_	_	(	_	_	_	_	_	_	_	
152-22	185-188	CoR	ABB	X	http://www.wikidata.org/entity/Q205203	ORG	CoR	_	_	_	_	_	_	_	
152-23	188-189	)	PUNCT	PUNCT	_	_	)	_	_	_	_	_	_	_	
152-24	189-190	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	

#Text=Osiguravanjem lakog i slobodnog pristupa podacima, može se poboljšati njihova inovativna upotreba i ekonomski potencijal.
153-1	190-203	Osiguravanjem	N	NOUN	_	_	osiguravanje	_	_	_	NEW_SENSE	1	ENG30-13344804-n	Ponuđeno značenje se odnosi na finansijsko osiguranje, dok se u datom kontekstu 'osiguravanje' odnosi na garantovanje ili omogućavanje lakog pristupa podacima.	
153-2	204-209	lakog	A	ADJ	_	_	lak	_	_	_	ENG30-00749230-a	3	ENG30-00749230-a;ENG30-01186408-a;ENG30-01193046-a	U kontekstu rečenice, 'lak' se odnosi na pristup podacima koji ne predstavlja teškoću i ne iziskuje napor, što odgovara značenju 'koji ne predstavlja teškoću, ne iziskuje napor'.	
153-3	210-211	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	
153-4	212-221	slobodnog	A	ADJ	_	_	slobodan	_	_	_	ENG30-01061489-a	2	ENG30-00361837-a;ENG30-01061489-a	U datom kontekstu, 'slobodan' se odnosi na pristup podacima koji nije ograničen ili sputan, što odgovara značenju 'koji nije sputan ograničenjima'.	
153-5	222-230	pristupa	N	NOUN	_	_	pristup	1[809]	pristup podacima[809]	NID[809]	LLM-0204[3502]	1[3502]	LLM-0204[3502]	U kontekstu rečenice, 'pristup podacima' se odnosi na mogućnost korišćenja informacija, što se poklapa sa definicijom 'Mogućnost čitanja, menjanja ili korišćenja informacija uskladištenih u sistemu'.[3502]	
153-6	231-239	podacima	N	NOUN	_	_	podatak	1[809]	pristup podacima[809]	NID[809]	LLM-0204[3502]	1[3502]	LLM-0204[3502]	U kontekstu rečenice, 'pristup podacima' se odnosi na mogućnost korišćenja informacija, što se poklapa sa definicijom 'Mogućnost čitanja, menjanja ili korišćenja informacija uskladištenih u sistemu'.[3502]	
153-7	239-240	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	
153-8	241-245	može	V	VERB	_	_	moći	_	_	_	NEW_SENSE	1	ENG30-02523221-v	Ponuđeno značenje ne odgovara kontekstu. U datoj rečenici, 'može' se koristi kao pomoćni glagol koji izražava mogućnost ili potencijal, a ne kao glagol koji označava istrajnost ili uspeh.	
153-9	246-248	se	PAR	PART	_	_	se	_	_	_	_	_	_	_	
153-10	249-259	poboljšati	V	VERB	_	_	poboljšati	_	_	_	ENG30-00205885-v	3	ENG30-00205885-v;ENG30-00229605-v;ENG30-00549982-v	U kontekstu rečenice, 'poboljšati' znači učiniti podatke boljim u smislu njihove upotrebe i potencijala, što se podudara sa značenjem 'učiniti boljim'.	
153-11	260-267	njihova	PRO	DET	_	_	njihov	_	_	_	_	_	_	_	
153-12	268-278	inovativna	A	ADJ	_	_	inovativan	_	_	_	ENG30-01687586-a	1	ENG30-01687586-a	U kontekstu rečenice, 'inovativna upotreba' se odnosi na upotrebu podataka na način koji nije ranije isproban ili osmišljen, što se podudara sa značenjem 'biti ili proizvoditi nešto što nije učinjeno, iskuseno ili stvoreno ranije'.	
153-13	279-287	upotreba	N	NOUN	_	_	upotreba	_	_	_	ENG30-00947128-n	3	ENG30-00061598-n;ENG30-00947128-n;ENG30-05149978-n	U datom kontekstu, 'upotreba' se odnosi na čin korišćenja podataka, što je najpreciznije objašnjeno značenjem 'Čin korišćenja'.	
153-14	288-289	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	
153-15	290-299	ekonomski	A	ADJ	_	_	ekonomski	_	_	_	ENG30-02716739-a	4	ENG30-01871565-a;ENG30-02577454-a;ENG30-02716605-a;ENG30-02716739-a	U kontekstu rečenice, 'ekonomski potencijal' se odnosi na potencijal koji se tiče ekonomije, odnosno sistema proizvodnje i upravljanja materijalnim dobrima.	
153-16	300-310	potencijal	N	NOUN	_	_	potencijal	_	_	_	ENG30-14482620-n	1	ENG30-14482620-n	U kontekstu rečenice, 'potencijal' se odnosi na urođeni kapacitet podataka da doprinesu inovacijama i ekonomskom rastu, što odgovara definiciji 'urođeni kapacitet za nastanak nečega'.	
153-17	310-311	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	

#Text=Članovi Evropskog odbora regija (CoR) sastaju se na plenarnoj sednici u Briselu šest puta godišnje kako bi vodili raspravu i usvajali stavove, izveštaje i rezolucije.
154-1	311-318	Članovi	N	NOUN	*	ROLE	član	_	_	_	ENG30-10307234-n	5	ENG30-06324669-n;ENG30-06392935-n;ENG30-08170686-n;ENG30-10307234-n;ENG30-13810615-n	U datom kontekstu, "članovi" se odnosi na osobe koje pripadaju Evropskom odboru regija, što odgovara značenju 'jedna od osoba koje čine socijalnu grupu (posebno osobe koje su pristupile nekoj organizaciji)'.	
154-2	319-328	Evropskog	A	ADJ	http://www.wikidata.org/entity/Q205203[75]	ORG[75]	evropski	_	_	_	_	_	_	_	
154-3	329-335	odbora	N	NOUN	http://www.wikidata.org/entity/Q205203[75]	ORG[75]	odbor	_	_	_	_	_	_	_	
154-4	336-342	regija	N	NOUN	http://www.wikidata.org/entity/Q205203[75]	ORG[75]	regija	_	_	_	_	_	_	_	
154-5	343-344	(	PUNCT	PUNCT	_	_	(	_	_	_	_	_	_	_	
154-6	344-347	CoR	ABB	X	http://www.wikidata.org/entity/Q205203	ORG	CoR	_	_	_	_	_	_	_	
154-7	347-348	)	PUNCT	PUNCT	_	_	)	_	_	_	_	_	_	_	
