#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.WSD|KBid


#Text=On obično igra na poziciji levog krila ili levog beka.
151-1	0-2	On	PRO	PRON	_	_	on	_	_	_	_	
151-2	3-9	obično	ADV	ADV	_	_	obično	_	_	_	http://example.org/lexicon/seENG3000155621b	
151-3	10-14	igra	V	VERB	_	_	igrati	_	_	_	http://example.org/lexicon/seENG3001072949v	
151-4	15-17	na	PREP	ADP	_	_	na	_	_	_	_	
151-5	18-26	poziciji	N	NOUN	_	_	pozicija	_	_	_	http://example.org/lexicon/seENG3008622201n	
151-6	27-32	levog	A	ADJ	_	_	levi	1[807]	levo krilo[807]	NID[807]	http://example.org/lexicon/seLLM0108[3500]	
151-7	33-38	krila	N	NOUN	_	_	krilo	1[807]	levo krilo[807]	NID[807]	http://example.org/lexicon/seLLM0108[3500]	
151-8	39-42	ili	CONJ	CCONJ	_	_	ili	_	_	_	_	
151-9	43-48	levog	A	ADJ	_	_	levi	2[808]	levi bek[808]	NID[808]	http://example.org/lexicon/seLLM0107[3501]	
151-10	49-53	beka	N	NOUN	_	_	bek	2[808]	levi bek[808]	NID[808]	http://example.org/lexicon/seLLM0107[3501]	
151-11	53-54	.	SENT	PUNCT	_	_	.	_	_	_	_	

#Text=Uspostavljena je i posebna Komisija za finansijska i administrativna pitanja (CFAA) kako bi pomogla Birou Evropskog odbora regija (CoR).
152-1	54-67	Uspostavljena	V	VERB	_	_	uspostaviti	_	_	_	http://example.org/lexicon/seENG3002427103v	
152-2	68-70	je	V	AUX	_	_	jesam	_	_	_	_	
152-3	71-72	i	CONJ	CCONJ	_	_	i	_	_	_	_	
152-4	73-80	posebna	A	ADJ	_	_	poseban	_	_	_	http://example.org/lexicon/seENG3001104460a	
152-5	81-89	Komisija	N	NOUN	*[73]	ORG[73]	komisija	_	_	_	_	
152-6	90-92	za	PREP	ADP	*[73]	ORG[73]	za	_	_	_	_	
