#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.sense|SenseID|Number_of_candidate_senses|List_of_candidate_senses|Ainotes


#Text=Nekoliko godina kasnije (1906) objavio je svoj Słownik chemiczny, prvi poljski hemijski rečnik.
51-1	0-8	Nekoliko	ADV	ADV	_	_	nekoliko	_	_	_	DRJ0-206395/2	2	DRJ0-206395/1;DRJ0-206395/2	U kontekstu rečenice, 'nekoliko' se koristi da označi neodređenu, ali malu količinu godina, što odgovara značenju 'malo, nešto'.	
51-2	9-15	godina	N	NOUN	_	_	godina	_	_	_	ENG30-15203791-n	5	ENG30-08238660-n;ENG30-15201505-n;ENG30-15202634-n;ENG30-15203791-n;ENG30-15204297-n	U datom kontekstu, 'godina' se odnosi na vremenski period od 365 ili 366 dana, što odgovara značenju vremenskog perioda.	
51-3	16-23	kasnije	ADV	ADV	_	_	kasnije	_	_	_	ENG30-00061203-b	2	ENG30-00061203-b;ENG30-00155488-b	U datoj rečenici, 'kasnije' se odnosi na vremenski period koji sledi nakon referentne tačke (implicitno, ranijeg perioda u životu osobe), što odgovara značenju 'događa se u vreme koje sledi nakon referentnog vremena'.	
51-4	24-25	(	PUNCT	PUNCT	_	_	(	_	_	_	_	_	_	_	
51-5	25-29	1906	A	ADJ	_	_	1906	_	_	_	NEW_SENSE	0	_	_	
51-6	29-30	)	PUNCT	PUNCT	_	_	)	_	_	_	_	_	_	_	
51-7	31-38	objavio	V	VERB	_	_	objaviti	_	_	_	ENG30-00967625-v	13	ENG30-00841986-v;ENG30-00930806-v;ENG30-00932161-v;ENG30-00965871-v;ENG30-00967625-v;ENG30-00974367-v;ENG30-00977336-v;ENG30-01017001-v;ENG30-01065115-v;ENG30-01591621-v;ENG30-01717851-v;ENG30-01744611-v;ENG30-01745722-v	U kontekstu rečenice, 'objaviti' znači pripremiti i izdati rečnik za javnu distribuciju, što se poklapa sa značenjem 'pripremiti i izdati za javnu distribuciju ili prodaju'.	
51-8	39-41	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	
51-9	42-46	svoj	PRO	DET	_	_	svoj	_	_	_	_	_	_	_	
51-10	47-54	Słownik	F	X	http://www.wikidata.org/entity/*[35]	WORK[35]	Słownik	_	_	_	_	_	_	_	
51-11	55-64	chemiczny	F	X	http://www.wikidata.org/entity/*[35]	WORK[35]	chemiczny	_	_	_	_	_	_	_	
51-12	64-65	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	
51-13	66-70	prvi	A	ADJ	_	_	prvi	_	_	_	ENG30-01012855-a	6	ENG30-00228294-a;ENG30-01009206-a;ENG30-01009343-a;ENG30-01010862-a;ENG30-01012855-a;ENG30-01467919-a	U kontekstu rečenice, 'prvi' se odnosi na rečnik koji je prethodio svim ostalim poljskim hemijskim rečnicima u vremenu, što odgovara značenju 'koji prethodi svim ostalima u vremenu'.	
51-14	71-78	poljski	A	ADJ	http://www.wikidata.org/entity/Q809	DEMO	poljski	_	_	_	ENG30-02961258-a	1	ENG30-02961258-a	Reč 'poljski' u datom kontekstu se odnosi na jezik i poreklo rečnika, što je u skladu sa značenjem 'koji se tiče Poljske'.	
51-15	79-87	hemijski	A	ADJ	_	_	hemijski	_	_	_	ENG30-02692624-a	2	ENG30-02692624-a;ENG30-02692966-a	Rečnik je hemijski jer se odnosi na hemiju, odnosno na pojmove i termine koji se koriste u hemiji.	
51-16	88-94	rečnik	N	NOUN	_	_	rečnik	_	_	_	ENG30-06418901-n	3	ENG30-05651242-n;ENG30-06418901-n;ENG30-06420678-n	U datom kontekstu, 'rečnik' se odnosi na priručnik koji sadrži reči (u alfabetskom poretku) sa njihovim značenjima, što je značenje ID: ENG30-06418901-n.	
51-17	94-95	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	

#Text=Uglavnom predlažemo prekid njihove dalje proizvodnje i početak uklanjanja svih zaliha na Zemlji.
