#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.sense|SenseID|Number_of_candidate_senses|List_of_candidate_senses|Ainotes


#Text=Uglavnom predlažemo prekid njihove dalje proizvodnje i početak uklanjanja svih zaliha na Zemlji.
52-1	0-8	Uglavnom	ADV	ADV	_	_	uglavnom	_	_	_	ENG30-00073897-b	4	ENG30-00006105-b;ENG30-00041954-b;ENG30-00073897-b;ENG30-00155621-b	Značenje 'najvećim delom' najbolje odgovara kontekstu rečenice, jer se predlog odnosi na prekid proizvodnje i uklanjanje zaliha u najvećoj meri.	
52-2	9-19	predlažemo	V	VERB	_	_	predlagati	_	_	_	ENG30-00879356-v	1	ENG30-00879356-v	U kontekstu rečenice, 'predlagati' se koristi u smislu formalnog predlaganja prekida proizvodnje i uklanjanja zaliha, što odgovara značenju 'formalno predložiti'.	
52-3	20-26	prekid	N	NOUN	_	_	prekid	_	_	_	ENG30-00383952-n	6	ENG30-00383952-n;ENG30-00553173-n;ENG30-07367812-n;ENG30-08566554-n;ENG30-14417551-n;ENG30-15271008-n	U kontekstu rečenice, 'prekid' se odnosi na čin zaustavljanja ili raskidanja kontinuiteta proizvodnje, što se poklapa sa značenjem 'čin raskidanja nekog kontinuiteta'.	
52-4	27-34	njihove	PRO	DET	_	_	njihov	_	_	_	_	_	_	_	
52-5	35-40	dalje	A	ADJ	_	_	dalji	_	_	_	ENG30-00443988-a	1	ENG30-00443988-a	U datom kontekstu, 'dalje' se odnosi na nastavak proizvodnje, što implicira udaljenost od trenutnog stanja u smislu napredovanja ili nastavka aktivnosti.	
52-6	41-52	proizvodnje	N	NOUN	_	_	proizvodnja	_	_	_	ENG30-00912960-n	4	ENG30-00912001-n;ENG30-00912960-n;ENG30-00913705-n;ENG30-13758745-n	Značenje 'čin ili proces proizvodnje nečega' najbolje odgovara kontekstu rečenice, jer se odnosi na prekid procesa stvaranja ili pravljenja nečega.	
52-7	53-54	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	
52-8	55-62	početak	N	NOUN	_	_	početak	_	_	_	ENG30-00235435-n	7	ENG30-00235435-n;ENG30-05868051-n;ENG30-07325190-n;ENG30-07325990-n;ENG30-08507558-n;ENG30-15168790-n;ENG30-15265518-n	U kontekstu rečenice, 'početak' se odnosi na čin započinjanja procesa uklanjanja zaliha, što odgovara značenju 'čin počinjanja nečega'.	
52-9	63-73	uklanjanja	N	NOUN	_	_	uklanjanje	_	_	_	ENG30-00391599-n	2	ENG30-00209446-n;ENG30-00391599-n	U kontekstu rečenice, 'uklanjanje' se odnosi na čin uklanjanja zaliha, što odgovara značenju 'čin uklanjanja nečega'.	
52-10	74-78	svih	PRO	DET	_	_	sav	_	_	_	_	_	_	_	
52-11	79-85	zaliha	N	NOUN	_	_	zaliha	_	_	_	ENG30-13777344-n	4	ENG30-13367070-n;ENG30-13367448-n;ENG30-13368052-n;ENG30-13777344-n	U kontekstu rečenice, 'zalihe' se odnose na količinu nečega (proizvoda) koja je dostupna za uklanjanje, što odgovara značenju 'Količina nečega dostupnog za upotrebu'.	
52-12	86-88	na	PREP	ADP	_	_	na	_	_	_	_	_	_	_	
52-13	89-95	Zemlji	N	PROPN	http://www.wikidata.org/entity/Q2	LOC	Zemlja	_	_	_	_	_	_	_	
52-14	95-96	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	

#Text=Sovjetski narod dobro zna koliko je rat užasan.
53-1	96-105	Sovjetski	A	ADJ	_	_	sovjetski	_	_	_	ENG30-02959406-a	1	ENG30-02959406-a	Rečenica govori o narodu koji je živeo u Sovjetskom Savezu, stoga se značenje 'odnosi se na ili je karakteristično za bivši Sovjetski Savez ili njegove ljude' savršeno uklapa.	
53-2	106-111	narod	N	NOUN	_	_	narod	_	_	_	ENG30-08166552-n	4	ENG30-07947255-n;ENG30-08160276-n;ENG30-08166552-n;ENG30-08168117-n	U kontekstu rečenice, 'narod' se odnosi na ljude koji žive u Sovjetskom Savezu, što odgovara značenju 'Ljudi koji žive u jednoj zemlji'.	
53-3	112-117	dobro	ADV	ADV	_	_	dobro	_	_	_	ENG30-00015007-b	4	ENG30-00013092-b;ENG30-00014285-b;ENG30-00014616-b;ENG30-00015007-b	U datom kontekstu, 'dobro zna' znači da sovjetski narod ima veliko i temeljno znanje o tome koliko je rat užasan, što odgovara značenju 'sa velikim ili posebno temeljnim znanjem'.	
53-4	118-121	zna	V	VERB	_	_	znati	_	_	_	ENG30-00594621-v	9	ENG30-00592883-v;ENG30-00594337-v;ENG30-00594621-v;ENG30-00595630-v;ENG30-00595935-v;ENG30-00596644-v;ENG30-00608372-v;ENG30-00608502-v;ENG30-00608670-v	U ovom kontekstu, 'znati' znači biti svestan činjenice da je rat užasan, što odgovara značenju 'Biti svestan neke činjenice ili određene informacije; imati znanje ili informaciju o nečemu.'	
53-5	122-128	koliko	ADV	ADV	_	_	koliko	_	_	_	ENG30-00111546-b	1	ENG30-00111546-b	U datoj rečenici, 'koliko' se koristi da izrazi u kojoj meri ili stepenu je rat užasan, što odgovara definiciji značenja.	
53-6	129-131	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	
