#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.WSD|Comment|Explanation|KBid|NumberOfSenses|Origine|Possible


#Text=Tehnološki faktori podrazumevaju tehnološke aspekte, kao što su aktivnosti istraživanja i razvoja, automatizacija, tehnološki podsticaji i stopa tehnoloških promena.
1-1	0-10	Tehnološki	A	ADJ	_	_	tehnološki	_	_	_	*	U ovom kontekstu, 'tehnološki' se odnosi na faktore povezane sa naučnim i industrijskim napretkom, kao što su istraživanje i razvoj, automatizacija i tehnološke promene.	http://llod.jerteh.rs/WSD/seENG3002084979a	2	ChatGPT	ENG30-02084979-a\;ENG30-02809692-a	
1-2	11-18	faktori	N	NOUN	_	_	faktor	_	_	_	*	U ovom kontekstu, 'faktori' se odnose na elemente ili okolnosti (tehnološke aspekte) koji uzročno doprinose određenim rezultatima, što odgovara ovom značenju.	http://llod.jerteh.rs/WSD/seENG3007327805n	3	ChatGPT	ENG30-05436752-n\;ENG30-07327805-n\;ENG30-10461424-n	
1-3	19-32	podrazumevaju	V	VERB	_	_	podrazumevati	_	_	_	*	U ovom kontekstu, 'podrazumevati' znači da tehnološki faktori uključuju ili impliciraju određene aspekte kao što su istraživanje i razvoj, automatizacija itd., što odgovara značenju 'uključiti ili implicirati kao neophodnu pratnju ili rezultat'.	http://llod.jerteh.rs/WSD/seENG3002634808v	3	ChatGPT	ENG30-00930599-v\;ENG30-02634808-v\;ENG30-02635189-v	
1-4	33-43	tehnološke	A	ADJ	_	_	tehnološki	_	_	_	*	U ovom kontekstu, 'tehnološki' se odnosi na aspekte povezane sa naučnim i industrijskim napretkom, kao što su istraživanje i razvoj, automatizacija i tehnološke promene.	http://llod.jerteh.rs/WSD/seENG3002084979a	2	ChatGPT	ENG30-02084979-a\;ENG30-02809692-a	
1-5	44-51	aspekte	N	NOUN	_	_	aspekt	_	_	_	*	U ovom kontekstu, 'aspekt' se odnosi na određene karakteristike ili elemente tehnoloških faktora, kao što su istraživanje i razvoj, automatizacija itd., što najpreciznije odgovara ovom značenju.	http://llod.jerteh.rs/WSD/seENG3005850624n	5	ChatGPT	ENG30-04733118-n\;ENG30-05850624-n\;ENG30-05852553-n\;ENG30-05852973-n\;ENG30-13804669-n	
1-6	51-52	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	_	
1-7	53-56	kao	CONJ	SCONJ	_	_	kao	1[6]	kao što[6]	ConjID[6]	*[14]	U ovom kontekstu, 'kao što' uvodi primere tehnoloških aspekata, što odgovara značenju veznika koji uvodi primer ili poređenje.[14]	http://llod.jerteh.rs/WSD/seLLM0091[14]	1[14]	ChatGPT[14]	LLM-0091[14]	
1-8	57-60	što	CONJ	SCONJ	_	_	što	1[6]	kao što[6]	ConjID[6]	*[14]	U ovom kontekstu, 'kao što' uvodi primere tehnoloških aspekata, što odgovara značenju veznika koji uvodi primer ili poređenje.[14]	http://llod.jerteh.rs/WSD/seLLM0091[14]	1[14]	ChatGPT[14]	LLM-0091[14]	
1-9	61-63	su	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	_	
1-10	64-74	aktivnosti	N	NOUN	_	_	aktivnost	_	_	_	*	U ovom kontekstu, 'aktivnosti' se odnosi na konkretne radnje ili postupke istraživanja i razvoja, što odgovara značenju 'bilo koji poseban čin'.	http://llod.jerteh.rs/WSD/seENG3000407535n	2	ChatGPT	ENG30-00407535-n\;ENG30-14006945-n	
1-11	75-87	istraživanja	N	NOUN	_	_	istraživanje	_	_	_	*	U kontekstu tehnoloških faktora, 'istraživanje' se odnosi na sistematski i iscrpan rad u cilju razvoja novih tehnologija, što najpreciznije odgovara ovom značenju.	http://llod.jerteh.rs/WSD/seENG3000633864n	7	ChatGPT	ENG30-00310063-n\;ENG30-00633864-n\;ENG30-00636728-n\;ENG30-00636921-n\;ENG30-00644503-n\;ENG30-00945777-n\;ENG30-00947041-n	
1-12	88-89	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	_	_	
1-13	90-97	razvoja	N	NOUN	_	_	razvoj	_	_	_	*	U ovom kontekstu, 'razvoj' se odnosi na aktivnosti istraživanja i poboljšavanja tehnologije, što podrazumeva čin poboljšavanja širenjem, povećavanjem ili profinjavanjem.	http://llod.jerteh.rs/WSD/seENG3000250259n	4	ChatGPT	ENG30-00250259-n\;ENG30-07324917-n\;ENG30-07423560-n\;ENG30-13464820-n	
1-14	97-98	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	_	
