#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.WSD|Comment|Explanation|KBid|NumberOfSenses|Origine|Possible


#Text=Zatim se imenuje izvestilac koji će sastaviti mišljenje Komiteta.
1-1	0-5	Zatim	ADV	ADV	_	_	zatim	_	_	_	*	„Zatim“ uvodi naredni korak u nizu radnji, označavajući da se imenovanje dešava posle prethodne faze. Dakle, radi se o značenju „nakon toga/sledeće“.	http://llod.jerteh.rs/WSD/seENG3000061203b	2	gpt-5	ENG30-00061203-b;ENG30-00117903-b	
1-2	6-8	se	PAR	PART	_	_	se	_	_	_	_	_	_	_	_	_	
1-3	9-16	imenuje	V	VERB	_	_	imenovati	_	_	_	*	U kontekstu 'imenuje se izvestilac' radi se o dodeljivanju osobe na određeno mesto/ulogu (izvestilac). To je imenovanje na funkciju i zadatak da sastavi mišljenje Komiteta.	http://llod.jerteh.rs/WSD/seENG3002391803v	11	gpt-5	ENG30-00645552-v;ENG30-00879540-v;ENG30-00945853-v;ENG30-01026095-v;ENG30-01030132-v;ENG30-02391803-v;ENG30-02396205-v;ENG30-02396716-v;ENG30-02401523-v;ENG30-02475922-v;ENG30-02476385-v	
1-4	17-27	izvestilac	N	NOUN	*	ROLE	izvestilac	_	_	_	*	U kontekstu komiteta, 'izvestilac' je imenovana osoba (rapporteur) koja priprema izveštaj/mišljenje odbora, što odgovara opisu da će sastaviti mišljenje Komiteta.	http://llod.jerteh.rs/WSD/seENG3010507565n	1	gpt-5	ENG30-10507565-n	
1-5	28-32	koji	PRO	DET	_	_	koji	_	_	_	_	_	_	_	_	_	
1-6	33-35	će	V	AUX	_	_	hteti	_	_	_	_	_	_	_	_	_	
1-7	36-45	sastaviti	V	VERB	_	_	sastaviti	_	_	_	*	U kontekstu izvestilac priprema zvanični dokument — mišljenje Komiteta, pa 'sastaviti' znači napisati/draftovati zvanični akt.	http://llod.jerteh.rs/WSD/seENG3001690816v	6	gpt-5	ENG30-00261957-v;ENG30-01297624-v;ENG30-01387786-v;ENG30-01626138-v;ENG30-01656788-v;ENG30-01690816-v	
1-8	46-55	mišljenje	N	NOUN	_	_	mišljenje	_	_	_	*	Ovde je reč o formalnom dokumentu/saopštenju Komiteta (izvestilac sastavlja mišljenje), što odgovara poruci koja izražava stav organa, a ne ličnom pogledu.	http://llod.jerteh.rs/WSD/seENG3006782019n	4	gpt-5	ENG30-05837850-n;ENG30-05945642-n;ENG30-06606808-n;ENG30-06782019-n	
1-9	56-64	Komiteta	N	NOUN	_	_	komitet	_	_	_	*	Reč se odnosi na organ organizacije koji imenuje izvestioca i donosi mišljenje, što odgovara opštem rukovodećem ili radnom organu. Nema naznaka da je reč o partijskom forumu ili zgradi.	http://llod.jerteh.rs/WSD/seDRJ0195880_0a.	2	gpt-5	DRJ0-195880/0a.;DRJ0-195880/0b.	
1-10	64-65	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	_	

#Text=EuroBillTracker (EBT) jeste veb stranica dizajnirana za praćenje novčanica evra.
2-1	66-81	EuroBillTracker	F	X	http://www.wikidata.org/entity/Q1374534	PRODUCT	EuroBillTracker	_	_	_	_	_	_	_	_	_	
2-2	82-83	(	PUNCT	PUNCT	_	_	(	_	_	_	_	_	_	_	_	_	
2-3	83-86	EBT	ABB	X	http://www.wikidata.org/entity/Q1374534	PRODUCT	EBT	_	_	_	_	_	_	_	_	_	
2-4	86-87	)	PUNCT	PUNCT	_	_	)	_	_	_	_	_	_	_	_	_	
2-5	88-93	jeste	V	VERB	_	_	jesam	_	_	_	*	‘Jeste’ je prezentski oblik glagola ‘biti’ i ovde deluje kao kopula koja iskazuje identitet/predikaciju: EBT jeste (postoji kao) veb stranica.	http://llod.jerteh.rs/WSD/seDRJ0193392_0	1	gpt-5	DRJ0-193392/0	
2-6	94-97	veb	N	NOUN	_	_	veb	1[182]	veb stranica[182]	NID[182]	*[401]	Ovde se 'veb stranica' odnosi na onlajn dokument kome se pristupa preko veb pretraživača, što odgovara definiciji. EBT je predstavljena kao stranica na Vebu namenjena praćenju novčanica.[2000]	http://llod.jerteh.rs/WSD/seCVMWE0485[2000]	1[2000]	gpt-5	CVMWE-0485[2000]	
2-7	98-106	stranica	N	NOUN	_	_	stranica	1[182]	veb stranica[182]	NID[182]	*[401]	Ovde se 'veb stranica' odnosi na onlajn dokument kome se pristupa preko veb pretraživača, što odgovara definiciji. EBT je predstavljena kao stranica na Vebu namenjena praćenju novčanica.[2000]	http://llod.jerteh.rs/WSD/seCVMWE0485[2000]	1[2000]	gpt-5	CVMWE-0485[2000]	
2-8	107-118	dizajnirana	A	ADJ	_	_	dizajniran	_	_	_	*	Ovde 'dizajnirana' znači namenski osmišljena/napravljena za određenu svrhu (praćenje novčanica). Ponuđeno značenje se odnosi na umetnički ili vešt način izrade, a ne na funkcionalnu namenu.	http://llod.jerteh.rs/WSD/seENG3001737025a	1	FIRST	ENG30-01737025-a	
2-9	119-121	za	PREP	ADP	_	_	za	_	_	_	_	_	_	_	_	_	
2-10	122-130	praćenje	N	NOUN	_	_	praćenje	_	_	_	*	U ovoj rečenici 'praćenje' označava nadgledanje/monitoring novčanica evra kroz vreme. Veb stranica je namenjena kontinuiranom posmatranju kretanja tih novčanica.	http://llod.jerteh.rs/WSD/seRSSJ39504_0	1	gpt-5	RSSJ-39504/0	
2-11	131-140	novčanica	N	NOUN	_	_	novčanica	_	_	_	*	U kontekstu EBT prate se pojedinačne papirne novčanice evra, tj. banknote. Ovo je specifično značenje fizičke novčanice izdate od centralne banke.	http://llod.jerteh.rs/WSD/seENG3013393762n	3	gpt-5	ENG30-13384877-n;ENG30-13387209-n;ENG30-13393762-n	
2-12	141-145	evra	N	NOUN	_	_	evro	_	_	_	*	U rečenici 'evro' označava valutu EU čije se novčanice prate, dakle osnovnu novčanu jedinicu uvedenu 1999.	http://llod.jerteh.rs/WSD/seENG3013661820n	1	gpt-5	ENG30-13661820-n	
2-13	145-146	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	_	

#Text=Njegov rad se često povezuje s postmodernizmom, posebno s poststrukturalizmom.
3-1	147-153	Njegov	PRO	DET	_	_	njegov	_	_	_	_	_	_	_	_	_	
3-2	154-157	rad	N	NOUN	_	_	rad	_	_	_	*	Ovde 'rad' označava njegovo delo/opus, tj. rezultate njegovog stvaralaštva koji se povezuju s postmodernizmom i poststrukturalizmom.	http://llod.jerteh.rs/WSD/seENG3004599396n	5	gpt-5	ENG30-00575741-n;ENG30-03838535-n;ENG30-04599396-n;ENG30-05755883-n;ENG30-06269956-n	
3-3	158-160	se	PAR	PART	_	_	se	_	_	_	_	_	_	_	_	_	
3-4	161-166	često	ADV	ADV	_	_	često	_	_	_	*	Ovde 'često' označava učestalost povezivanja njegovog rada s postmodernizmom, tj. da se to dešava mnogo puta. Ne radi se o količini već o frekvenciji.	http://llod.jerteh.rs/WSD/seCV0049	2	gpt-5	CV0049;ENG30-00059413-b	
3-5	167-175	povezuje	V	VERB	_	_	povezivati	_	_	_	*	Ovde 'povezuje' znači dovoditi u vezu ili asocirati njegov rad s određenim teorijskim pravcima. Ne radi se o fizičkom spajanju, već o stavljanju u međusobni odnos.	http://llod.jerteh.rs/WSD/seENG3000713818v	2	gpt-5	ENG30-00713818-v;ENG30-02622234-v	
3-6	176-177	s	PREP	ADP	_	_	s	_	_	_	_	_	_	_	_	_	
3-7	178-193	postmodernizmom	N	NOUN	_	_	postmodernizam	_	_	_	*	Ovde se ‘postmodernizam’ odnosi na kulturno-umetnički i književno-teorijski pravac nastao kao reakcija na modernizam, što je u skladu s pominjanjem poststrukturalizma kao povezane struje.	http://llod.jerteh.rs/WSD/seENG3003990025n	1	gpt-5	ENG30-03990025-n	
3-8	193-194	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	_	
3-9	195-202	posebno	ADV	ADV	_	_	posebno	_	_	_	*	Ovde 'posebno' znači 'naročito/konkretno', izdvajajući poststrukturalizam kao specifičan primer unutar šireg okvira postmodernizma.	http://llod.jerteh.rs/WSD/seENG3000248765b	4	gpt-5	ENG30-00041758-b;ENG30-00084223-b;ENG30-00207668-b;ENG30-00248765-b	
3-10	203-204	s	PREP	ADP	_	_	s	_	_	_	_	_	_	_	_	_	
3-11	205-224	poststrukturalizmom	N	NOUN	_	_	poststrukturalizam	_	_	_	*	U kontekstu povezivanja s postmodernizmom, 'poststrukturalizam' označava filozofski pravac i pokret u književnoj kritici. To se poklapa sa datim značenjem.	http://llod.jerteh.rs/WSD/seCVDf232_0	1	gpt-5	CVDf-232/0	
3-12	224-225	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	_	

#Text=Čak je bio opremljen i radarom.
4-1	226-229	Čak	PAR	PART	_	_	čak	_	_	_	_	_	_	_	_	_	
4-2	230-232	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	_	
4-3	233-236	bio	V	AUX	_	_	biti	_	_	_	_	_	_	_	_	_	
4-4	237-246	opremljen	V	VERB	_	_	opremiti	_	_	_	*	Rečenica označava da je entitet imao dodatnu opremu — konkretno radar — za specifičnu namenu. To odgovara značenju 'opskrbiti opremom'.	http://llod.jerteh.rs/WSD/seENG3002339413v	1	gpt-5	ENG30-02339413-v	
4-5	247-248	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	_	_	
4-6	249-256	radarom	N	NOUN	_	_	radar	_	_	_	*	Ovde se 'radarom' odnosi na uređaj koji koristi mikrotalasne impulse za otkrivanje i lociranje objekata; rečenica kaže da je predmet čak opremljen takvim instrumentom.	http://llod.jerteh.rs/WSD/seENG3004039848n	1	gpt-5	ENG30-04039848-n	
4-7	256-257	.	PUNCT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	_	

#Text=I posedovao je mnogo nekretnina.
5-1	258-259	I	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	_	_	
5-2	260-269	posedovao	V	VERB	_	_	posedovati	_	_	_	*	U kontekstu 'mnogo nekretnina' radi se o pravnom vlasništvu nad stvarima. Dakle, značenje je 'biti vlasnik nečega'.	http://llod.jerteh.rs/WSD/seENG3002204692v	2	gpt-5	ENG30-02204692-v;ENG30-02630189-v	
5-3	270-272	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	_	
5-4	273-278	mnogo	ADV	ADV	_	_	mnogo	_	_	_	*	Ovde 'mnogo' označava veliku količinu (broj) nekretnina, što odgovara značenju 'u velikim količinama'. Ne odnosi se na intenzitet ili potreban nivo.	http://llod.jerteh.rs/WSD/seENG3000059413b	4	gpt-5	ENG30-00032803-b;ENG30-00059086-b;ENG30-00059413-b;ENG30-00145713-b	
5-5	279-289	nekretnina	N	NOUN	_	_	nekretnina	_	_	_	*	Rečenica govori o posedovanju mnogo nepokretne imovine, poput kuća i zemljišta, što odgovara definiciji real estatea. Dakle, primenjuje se značenje imovine koja se sastoji od kuća i zemlje.	http://llod.jerteh.rs/WSD/seENG3013246475n	1	gpt-5	ENG30-13246475-n	
5-6	289-290	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	_	

#Text=Kapital mora da raste, inače čitav proces propada.
6-1	291-298	Kapital	N	NOUN	_	_	kapital	_	_	_	*	Rečenica govori o kapitalu kao sredstvima koja se ulažu u proizvodnju radi stvaranja nove vrednosti, pa se naglašava potreba njegovog rasta. Nije reč o knjizi niti o opštem bogatstvu, već o proizvodnom kapitalu.	http://llod.jerteh.rs/WSD/seENG3013354420n	3	gpt-5	ENG30-07282929-n;ENG30-13353607-n;ENG30-13354420-n	
