#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.sense|SenseID|Number_of_candidate_senses|List_of_candidate_senses|Comment|Ainotes


#Text=Mnogo je siromaštva i nezaposlenosti.
1-1	0-5	Mnogo	ADV	ADV	_	_	mnogo	_	_	_	ENG30-00145713-b	4	ENG30-00032803-b;ENG30-00059086-b;ENG30-00059413-b;ENG30-00145713-b	*	simple_wsd - ENG30-00145713-b:0.5327::koliko je potrebno - ENG30-00059413-b:0.4484::često ili u velikim količinama - ENG30-00059086-b:0.4131::u velikoj meri ili stepenu	
1-2	6-8	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
1-3	9-19	siromaštva	N	NOUN	_	_	siromaštvo	_	_	_	ENG30-14493716-n	3	ENG30-14493145-n;ENG30-14493426-n;ENG30-14493716-n	*	simple_wsd - ENG30-14493716-n:0.7212::stanje krajnjeg siromaštva ili nemaštine - ENG30-14493426-n:0.6358::stanje krajnjeg siromaštva - ENG30-14493145-n:0.5116::Stanje u kome se malo novca i materijalnih dobara.	
1-4	20-21	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	_	
1-5	22-36	nezaposlenosti	N	NOUN	_	_	nezaposlenost	_	_	_	ENG30-13968308-n	1	ENG30-13968308-n	*	simple_wsd - ENG30-13968308-n:0.6342::Stanje biti nezaposlen ili nemati posao.	
1-6	36-37	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Taj bod podelili su na jednake delove vozači koji su imali isti najbrži krug.
2-1	37-40	Taj	PRO	DET	_	_	taj	_	_	_	_	_	_	_	_	
2-2	41-44	bod	N	NOUN	_	_	bod	_	_	_	ENG30-13610162-n	2	ENG30-04321238-n;ENG30-13610162-n	*	simple_wsd - ENG30-13610162-n:0.6054::jedinica brojanja pri beleženju rezultata u igri ili takmičenju. - ENG30-04321238-n:0.5018::način na koji se konac uvrće ili prave čvorovi tokom vezenja	
2-3	45-53	podelili	V	VERB	_	_	podeliti	_	_	_	ENG30-01563724-v	7	ENG30-00642098-v;ENG30-01063930-v;ENG30-01563724-v;ENG30-02031158-v;ENG30-02201644-v;ENG30-02255268-v;ENG30-02294436-v	*	simple_wsd - ENG30-01563724-v:0.6473::podeliti na delove, komade ili sekcije - ENG30-01063930-v:0.5479::Preneti nekome svoj stav ili mišljenje - ENG30-02031158-v:0.5224::Učiniti da se nešto podeli ili odvoji.	
2-4	54-56	su	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
2-5	57-59	na	PREP	ADP	_	_	na	_	_	_	_	_	_	_	_	
2-6	60-67	jednake	A	ADJ	_	_	jednak	_	_	_	ENG30-00744506-a	3	CV0138;ENG30-00744506-a;ENG30-01411065-a	*	simple_wsd - ENG30-00744506-a:0.6164::koji nije različit - CV0138:0.5584::koji ima ista prava kao i drugi, ravnopravan - ENG30-01411065-a:0.5443::jednak po količini ili vrednosti	
2-7	68-74	delove	N	NOUN	_	_	deo	_	_	_	ENG30-05867413-n	8	ENG30-01085098-n;ENG30-03892891-n;ENG30-05867413-n;ENG30-05868954-n;ENG30-08548733-n;ENG30-09385911-n;ENG30-13289159-n;ENG30-13809207-n	*	simple_wsd - ENG30-05867413-n:0.6256::Jedan od delova u koje je nešto podeljeno i koji zajedno čine celinu. - ENG30-08548733-n:0.5401::teritorijalna i administrativna podela nekih zemalja (kao što je Francuska) - ENG30-01085098-n:0.4606::Rezultat parcelisanja ili deljenja.	
2-8	75-81	vozači	N	NOUN	http://www.wikidata.org/entity/Q352388	ROLE	vozač	_	_	_	ENG30-10034906-n	1	ENG30-10034906-n	*	simple_wsd - ENG30-10034906-n:0.4000::vozač motornog vozila	
2-9	82-86	koji	PRO	DET	_	_	koji	_	_	_	_	_	_	_	_	
2-10	87-89	su	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
2-11	90-95	imali	V	VERB	_	_	imati	_	_	_	ENG30-01426397-v	11	ENG30-00065370-v;ENG30-00121046-v;ENG30-01426397-v;ENG30-02047097-v;ENG30-02203362-v;ENG30-02204692-v;ENG30-02205098-v;ENG30-02302220-v;ENG30-02629535-v;ENG30-02704349-v;ENG30-02740745-v	*	simple_wsd - ENG30-01426397-v:0.5622::Imati seksualni odnos sa nekim. - ENG30-02629535-v:0.5329::obuhvatati, imati kao komponentu. - ENG30-02704349-v:0.5034::Imati izvesne dimenzije.	
2-12	96-100	isti	A	ADJ	_	_	isti	_	_	_	ENG30-01411065-a	4	ENG30-01410606-a;ENG30-01411065-a;ENG30-02062670-a;ENG30-02068476-a	*	simple_wsd - ENG30-01411065-a:0.5365::jednak po količini ili vrednosti - ENG30-01410606-a:0.4747::ima iste ili slične karakteristike - ENG30-02062670-a:0.3950::slično ili uporedivo prema vrsti ili kvalitetu ili količini ili stepenu	
