#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.WSD|Comment|Explanation|KBid|NumberOfSenses|Origine|Possible


#Text=Mnogo je siromaštva i nezaposlenosti.
1-1	0-5	Mnogo	ADV	ADV	_	_	mnogo	_	_	_	*	simple_wsd - ENG30-00059086-b:0.8848::u velikoj meri ili stepenu - ENG30-00059413-b:0.8623::često ili u velikim količinama - ENG30-00145713-b:0.8138::koliko je potrebno	http://llod.jerteh.rs/WSD/seENG3000059086b	4	tesla_wsd	ENG30-00032803-b;ENG30-00059086-b;ENG30-00059413-b;ENG30-00145713-b	
1-2	6-8	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	_	
1-3	9-19	siromaštva	N	NOUN	_	_	siromaštvo	_	_	_	*	simple_wsd - ENG30-14493145-n:0.9400::Stanje u kome se malo novca i materijalnih dobara. - ENG30-14493716-n:0.9370::stanje krajnjeg siromaštva ili nemaštine - ENG30-14493426-n:0.8678::stanje krajnjeg siromaštva	http://llod.jerteh.rs/WSD/seENG3014493145n	3	tesla_wsd	ENG30-14493145-n;ENG30-14493426-n;ENG30-14493716-n	
1-4	20-21	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	_	_	
1-5	22-36	nezaposlenosti	N	NOUN	_	_	nezaposlenost	_	_	_	*	simple_wsd - ENG30-13968308-n:0.8589::Stanje biti nezaposlen ili nemati posao.	http://llod.jerteh.rs/WSD/seENG3013968308n	1	tesla_wsd	ENG30-13968308-n	
1-6	36-37	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	_	

#Text=Taj bod podelili su na jednake delove vozači koji su imali isti najbrži krug.
2-1	37-40	Taj	PRO	DET	_	_	taj	_	_	_	_	_	_	_	_	_	
2-2	41-44	bod	N	NOUN	_	_	bod	_	_	_	*	simple_wsd - ENG30-04321238-n:0.8187::način na koji se konac uvrće ili prave čvorovi tokom vezenja	http://llod.jerteh.rs/WSD/seENG3004321238n	1	tesla_wsd	ENG30-04321238-n	
2-3	45-53	podelili	V	VERB	_	_	podeliti	_	_	_	*	simple_wsd - ENG30-01563724-v:0.8881::podeliti na delove, komade ili sekcije - ENG30-02031158-v:0.8816::Učiniti da se nešto podeli ili odvoji. - ENG30-01063930-v:0.8150::Preneti nekome svoj stav ili mišljenje	http://llod.jerteh.rs/WSD/seENG3001563724v	7	tesla_wsd	ENG30-00642098-v;ENG30-01063930-v;ENG30-01563724-v;ENG30-02031158-v;ENG30-02201644-v;ENG30-02255268-v;ENG30-02294436-v	
2-4	54-56	su	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	_	
2-5	57-59	na	PREP	ADP	_	_	na	_	_	_	_	_	_	_	_	_	
2-6	60-67	jednake	A	ADJ	_	_	jednak	_	_	_	*	simple_wsd - ENG30-01411065-a:0.6452::jednak po količini ili vrednosti - ENG30-00744506-a:0.6295::koji nije različit	http://llod.jerteh.rs/WSD/seENG3001411065a	2	tesla_wsd	ENG30-00744506-a;ENG30-01411065-a	
2-7	68-74	delove	N	NOUN	_	_	deo	_	_	_	*	simple_wsd - ENG30-08548733-n:0.7371::teritorijalna i administrativna podela nekih zemalja (kao što je Francuska) - ENG30-03892891-n:0.7220::Nešto što je manje od celine ljudske tvorevine. - ENG30-05867413-n:0.7123::Jedan od delova u koje je nešto podeljeno i koji zajedno čine celinu.	http://llod.jerteh.rs/WSD/seENG3008548733n	7	tesla_wsd	ENG30-01085098-n;ENG30-03892891-n;ENG30-05867413-n;ENG30-05868954-n;ENG30-08548733-n;ENG30-09385911-n;ENG30-13289159-n	
2-8	75-81	vozači	N	NOUN	http://www.wikidata.org/entity/Q352388	ROLE	vozač	_	_	_	*	simple_wsd - ENG30-10034906-n:0.6992::vozač motornog vozila	http://llod.jerteh.rs/WSD/seENG3010034906n	1	tesla_wsd	ENG30-10034906-n	
2-9	82-86	koji	PRO	DET	_	_	koji	_	_	_	_	_	_	_	_	_	
2-10	87-89	su	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	_	
2-11	90-95	imali	V	VERB	_	_	imati	_	_	_	*	simple_wsd - ENG30-02203362-v:0.8708::Imati ili posedovati, u direktnom ili apstraktnom značenju. - ENG30-02047097-v:0.6884::O mentalnom ili fizičkom stanju ili iskustvu. - ENG30-00065370-v:0.6826::Patiti od nečega; bolovati od nečega.	http://llod.jerteh.rs/WSD/seENG3002203362v	10	tesla_wsd	ENG30-00065370-v;ENG30-00121046-v;ENG30-01426397-v;ENG30-02047097-v;ENG30-02203362-v;ENG30-02204692-v;ENG30-02205098-v;ENG30-02629535-v;ENG30-02704349-v;ENG30-02740745-v	
2-12	96-100	isti	A	ADJ	_	_	isti	_	_	_	*	simple_wsd - ENG30-01410606-a:0.5226::ima iste ili slične karakteristike - ENG30-01411065-a:0.5090::jednak po količini ili vrednosti - ENG30-02068476-a:0.4729::isti u identitetu	http://llod.jerteh.rs/WSD/seENG3001410606a	4	tesla_wsd	ENG30-01410606-a;ENG30-01411065-a;ENG30-02062670-a;ENG30-02068476-a	
2-13	101-108	najbrži	A	ADJ	_	_	brz	_	_	_	*	simple_wsd - ENG30-00977699-a:0.8456::koji je bez nepotrebnog zaustavljanja - ENG30-00979697-a:0.8423::obavljen ili se dešava u kratkom vremenskom periodu - ENG30-00323873-a:0.8422::Nastupati ili ketati se brzo, ili imati sposobnost za brzo nastupanje ili kretanje.	http://llod.jerteh.rs/WSD/seENG3000977699a	8	tesla_wsd	ENG30-00032733-a;ENG30-00323873-a;ENG30-00977699-a;ENG30-00978754-a;ENG30-00979697-a;ENG30-00979862-a;ENG30-01562992-a;ENG30-01931676-a	
2-14	109-113	krug	N	NOUN	_	_	krug	_	_	_	*	simple_wsd - ENG30-05999134-n:0.8241::Područje znanja ili interesovanja. - ENG30-08240169-n:0.8180::Nezvanična asocijacija ljudi ili grupa. - ENG30-00310666-n:0.7744::putovanje ili ruta oko određenog mesta ili područja	http://llod.jerteh.rs/WSD/seENG3005999134n	5	tesla_wsd	ENG30-00295172-n;ENG30-00310666-n;ENG30-03032811-n;ENG30-05999134-n;ENG30-08240169-n	
2-15	113-114	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	_	

#Text=Umrla je 1245. godine, još uvek čekajući da joj se sin vrati.
3-1	114-119	Umrla	V	VERB	_	_	umreti	_	_	_	*	simple_wsd - ENG30-00358431-v:0.8467::Napustiti fizički život i izgubiti sve telesne funkcije i atribute koji se neophodni da bi se održao život. - ENG30-02109818-v:0.7823::patiti ili suočiti se sa bolom smrti - ENG30-00427683-v:0.7283::izumirati	http://llod.jerteh.rs/WSD/seENG3000358431v	3	tesla_wsd	ENG30-00358431-v;ENG30-00427683-v;ENG30-02109818-v	
3-2	120-122	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	_	
3-3	123-128	1245.	A	ADJ	_	_	1245.	_	_	_	_	_	_	_	_	_	
3-4	129-135	godine	N	NOUN	_	_	godina	_	_	_	*	simple_wsd - ENG30-15202634-n:0.8756::Godina računata od 1. januara do 31. decembra po Gregorijanskom kalendaru. - ENG30-15204297-n:0.8368::Vremenski period koji zauzima stalni deo kalendarske godine i koristi se za neku određenu aktivnost. - ENG30-15203791-n:0.8105::Vremenski period od 365 (ili 366) dana.	http://llod.jerteh.rs/WSD/seENG3015202634n	5	tesla_wsd	ENG30-08238660-n;ENG30-15201505-n;ENG30-15202634-n;ENG30-15203791-n;ENG30-15204297-n	
3-5	135-136	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	_	
3-6	137-140	još	ADV	ADV	_	_	još	_	_	_	*	simple_wsd - ENG30-00027795-b:0.7469::do sadašnjeg trenutka	http://llod.jerteh.rs/WSD/seENG3000027795b	1	tesla_wsd	ENG30-00027795-b	
3-7	141-145	uvek	ADV	ADV	_	_	uvek	_	_	_	*	simple_wsd - ENG30-00019339-b:0.9277::u svakom trenutku; sve vreme i u svakoj prilici - ENG30-00019806-b:0.8422::naizgled neprekidano; često i više puta - ENG30-00146387-b:0.7926::u bilo koje vreme; bilo kada	http://llod.jerteh.rs/WSD/seENG3000019339b	4	tesla_wsd	ENG30-00019339-b;ENG30-00019806-b;ENG30-00087542-b;ENG30-00146387-b	
3-8	146-154	čekajući	V	VERB	_	_	čekati	_	_	_	*	simple_wsd - ENG30-02637938-v:0.7620::Ostati na mestu, predviđajući ili očekujući nešto.	http://llod.jerteh.rs/WSD/seENG3002637938v	1	tesla_wsd	ENG30-02637938-v	
3-9	155-157	da	CONJ	SCONJ	_	_	da	_	_	_	_	_	_	_	_	_	
3-10	158-161	joj	PRO	PRON	_	_	ona	_	_	_	_	_	_	_	_	_	
3-11	162-164	se	PAR	PART	_	_	se	1	*	IRV	*[369]	simple_wsd - CVMWE-0499:0.8995::ponovo se baviti nečim nakon izvesnog prekida, prihvatiti ponovo ono što se napustilo, doći ponovo u ranije stanje, na … - CVMWE-0498:0.7720::doći ponovo onamo odakle se pošlo - ENG30-02004874-v:0.6430::Doći nazad na mesto gde se ranije već bilo, ili se vratiti prethodnoj aktivnosti.[2000]	http://llod.jerteh.rs/WSD/seCVMWE0499[2000]	3[2000]	tesla_wsd	CVMWE-0498;CVMWE-0499;ENG30-02004874-v[2000]	
