#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.WSD|Comment|Explanation|KBid|NumberOfSenses|Origine|Possible


#Text=Ipak, nastavio je da radi na esperantu sve dok nije umro od srčanog udara 1921. godine.
1-1	0-4	Ipak	PAR	PART	_	_	ipak	_	_	_	_	_	_	0	_	_	
1-2	4-5	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	0	_	_	
1-3	6-14	nastavio	V	VERB	_	_	nastaviti	_	_	_	*	Ovo značenje najviše odgovara kontekstu rečenice jer se odnosi na nastavak neke aktivnosti ili procesa koji je prethodno započet, što je slučaj i u datoj rečenici gdje se govori o nastavku rada na esperantu.	http://llod.jerteh.rs/WSD/seENG3002747709v	8	Llama4_nonew	ENG30-00118523-v;ENG30-00350104-v;ENG30-01992503-v;ENG30-01995549-v;ENG30-02618001-v;ENG30-02679899-v;ENG30-02684924-v;ENG30-02747709-v	
1-4	15-17	je	V	AUX	_	_	jesam	_	_	_	_	_	_	0	_	_	
1-5	18-20	da	CONJ	SCONJ	_	_	da	_	_	_	_	_	_	0	_	_	
1-6	21-25	radi	V	VERB	_	_	raditi	_	_	_	*	Ovdje se 'radi' koristi u značenju obavljanja aktivnosti ili posla, što se najbolje poklapa sa značenjem ID-a ENG30-02413480-v, koje se odnosi na činjenje ili obavljanje neke aktivnosti.	http://llod.jerteh.rs/WSD/seENG3002413480v	12	Llama4_nonew	ENG30-01525666-v;ENG30-01526290-v;ENG30-01742821-v;ENG30-02367363-v;ENG30-02410855-v;ENG30-02413480-v;ENG30-02436963-v;ENG30-02458822-v;ENG30-02525447-v;ENG30-02594979-v;ENG30-02676054-v;ENG30-02751271-v	
1-7	26-28	na	PREP	ADP	_	_	na	_	_	_	_	_	_	0	_	_	
1-8	29-38	esperantu	N	NOUN	_	_	esperanto	_	_	_	*	Ovo značenje precizno definiše šta je esperanto, odnosno veštački jezik koji je stvoren da bude što jednostavniji i lakši za učenje, a zasniva se na zajedničkim elementima evropskih jezika.	http://llod.jerteh.rs/WSD/seENG3006895791n	1	Llama4_nonew	ENG30-06895791-n	
1-9	39-42	sve	ADV	ADV	_	_	sve	1[205]	sve dok[205]	ConjID[205]	*[444]	U datoj rečenici, 'sve dok' se koristi kao vremenski veznik koji označava trajanje neke radnje ili stanja do momenta kada se dogodi neki drugi događaj, u ovom slučaju smrt.[2000]	http://llod.jerteh.rs/WSD/seLLM0255[2000]	1[2000]	Llama4_nonew	LLM-0255[2000]	
1-10	43-46	dok	CONJ	SCONJ	_	_	dok	1[205]	sve dok[205]	ConjID[205]	*[444]	U datoj rečenici, 'sve dok' se koristi kao vremenski veznik koji označava trajanje neke radnje ili stanja do momenta kada se dogodi neki drugi događaj, u ovom slučaju smrt.[2000]	http://llod.jerteh.rs/WSD/seLLM0255[2000]	1[2000]	Llama4_nonew	LLM-0255[2000]	
1-11	47-51	nije	V	AUX	_	_	jesam	_	_	_	_	_	_	0	_	_	
1-12	52-56	umro	V	VERB	_	_	umreti	_	_	_	*	Ovo značenje se odnosi na prestanak života kao što je opisano u kontekstu rečenice.	http://llod.jerteh.rs/WSD/seENG3000358431v	3	Llama4_nonew	ENG30-00358431-v;ENG30-00427683-v;ENG30-02109818-v	
1-13	57-59	od	PREP	ADP	_	_	od	_	_	_	_	_	_	0	_	_	
1-14	60-67	srčanog	A	ADJ	_	_	srčani	2[206]	srčani udar[206]	NID[206]	*[445]	Ovo značenje se odnosi na medicinski termin koji opisuje stanje izazvano prekidom dotoka krvi u deo mišića organa za pumpanje krvi, što je poznato kao srčani udar ili infarkt. U kontekstu rečenice, 'srčani udar' se koristi kao razlog smrti osobe.[2001]	http://llod.jerteh.rs/WSD/seLLM0247[2001]	1[2001]	Llama4_nonew	LLM-0247[2001]	
1-15	68-73	udara	N	NOUN	_	_	udar	2[206]	srčani udar[206]	NID[206]	*[445]	Ovo značenje se odnosi na medicinski termin koji opisuje stanje izazvano prekidom dotoka krvi u deo mišića organa za pumpanje krvi, što je poznato kao srčani udar ili infarkt. U kontekstu rečenice, 'srčani udar' se koristi kao razlog smrti osobe.[2001]	http://llod.jerteh.rs/WSD/seLLM0247[2001]	1[2001]	Llama4_nonew	LLM-0247[2001]	
1-16	74-79	1921.	A	ADJ	_	_	1921.	_	_	_	_	_	_	0	_	_	
1-17	80-86	godine	N	NOUN	_	_	godina	_	_	_	*	Ovo značenje najviše odgovara kontekstu rečenice jer se odnosi na kalendarsku godinu kao jedinicu vremena.	http://llod.jerteh.rs/WSD/seENG3015202634n	5	Llama4_nonew	ENG30-08238660-n;ENG30-15201505-n;ENG30-15202634-n;ENG30-15203791-n;ENG30-15204297-n	
1-18	86-87	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	0	_	_	

#Text=Crvena armija je upala na teritoriju Poljske sa istoka.
2-1	87-93	Crvena	A	ADJ	http://www.wikidata.org/entity/Q251395[1]	ORG[1]	crven	_	_	_	*	_	_	0	_	_	
2-2	94-100	armija	N	NOUN	http://www.wikidata.org/entity/Q251395[1]	ORG[1]	armija	_	_	_	*	_	_	0	_	_	
2-3	101-103	je	V	AUX	_	_	jesam	_	_	_	_	_	_	0	_	_	
2-4	104-109	upala	V	VERB	_	_	upasti	_	_	_	*	Ovdje je 'upala' korišteno u značenju silom ući ili prodreti, što se odnosi na vojnu akciju Crvene armije koja ulazi na teritoriju Poljske. | Failed due to hallucination after 3 attempts.	http://llod.jerteh.rs/WSD/seNEW_SENSE	8	None	DRJ0-184859/1;DRJ0-184859/2а.;DRJ0-184859/2б.;DRJ0-184859/3а.;DRJ0-184859/3б.;DRJ0-184859/3в.;DRJ0-184859/4;DRJ0-184859/5	
2-5	110-112	na	PREP	ADP	_	_	na	_	_	_	_	_	_	0	_	_	
2-6	113-123	teritoriju	N	NOUN	_	_	teritorija	_	_	_	*	Ovdje se 'teritorija' odnosi na područje ili prostor koji je pod jurisdikcijom određene države, u ovom slučaju Poljske.	http://llod.jerteh.rs/WSD/seENG3008493064n	1	Llama4_nonew	ENG30-08493064-n	
2-7	124-131	Poljske	N	PROPN	http://www.wikidata.org/entity/Q36	LOC	Poljska	_	_	_	_	_	_	0	_	_	
2-8	132-134	sa	PREP	ADP	_	_	sa	_	_	_	_	_	_	0	_	_	
